2021-06-07 23:47:34,445 : Flow Logger HTML_f : Starting HTML Conversion To Json | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-08 01:42:59,300 : Style Dictionary_q : Reading style dictionary in file: rule_dictionary_de.json | H | CAP |  de | Json | Ovaleap_clean.json
2021-06-08 01:42:59,326 : Style Dictionary_q : Qrd Section Keys Retrieved For Style Dictionary: ANHANG I, ANHANG II, ANHANG III, B. PACKUNGSBEILAGE | H | CAP |  de | Json | Ovaleap_clean.json
2021-06-08 01:42:59,330 : Partition_k : Partitioning Json: Ovaleap_clean.json | H | CAP |  de | Json | Ovaleap_clean.json
2021-06-08 01:42:59,448 : Partition_k : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\de\2021-06-07T08-05-21Z\partitionedJSONs\Ovaleap_clean_SmPC.json | H | CAP |  de | Json | Ovaleap_clean.json
2021-06-08 01:42:59,488 : Partition_k : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\de\2021-06-07T08-05-21Z\partitionedJSONs\Ovaleap_clean_ANHANG II.json | H | CAP |  de | Json | Ovaleap_clean.json
2021-06-08 01:42:59,544 : Partition_k : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\de\2021-06-07T08-05-21Z\partitionedJSONs\Ovaleap_clean_ANHANG III.json | H | CAP |  de | Json | Ovaleap_clean.json
2021-06-08 01:42:59,552 : Partition_k : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\de\2021-06-07T08-05-21Z\partitionedJSONs\Ovaleap_clean_ PACKUNGSBEILAGE.json | H | CAP |  de | Json | Ovaleap_clean.json
2021-06-08 01:42:59,560 : Flow Logger HTML_e : ['Ovaleap_clean_SmPC.json', 'Ovaleap_clean_ANHANG II.json', 'Ovaleap_clean_ANHANG III.json', 'Ovaleap_clean_ PACKUNGSBEILAGE.json'] | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-08 01:42:59,568 : Flow Logger HTML_e : Completed Json Split | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-08 01:42:59,568 : Flow Logger HTML_e : Split Json,0.0046 Min,0.256329 MB,5.392421 MB,51.9%
 | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-08 01:42:59,568 : Flow Logger HTML_e : Started Processing Partitioned Jsons | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-08 01:42:59,568 : Flow Logger HTML_e : 



||||||||||||||||||||||||||||||||0 ||||| Ovaleap_clean_SmPC.json||||||||||||||||||||||||||||||||



 | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-08 01:42:59,576 : Heading Extraction Ovaleap_clean_SmPC.json_V : Starting Heading Extraction | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json
2021-06-08 01:42:59,810 : Heading Extraction Ovaleap_clean_SmPC.json_V : Started Extracting Heading | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json
2021-06-08 01:42:59,963 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'ZUSAMMENFASSUNG DER MERKMALE DES ARZNEIMITTELS' | Qrd txt :- 'ZUSAMMENFASSUNG DER MERKMALE DES ARZNEIMITTELS' | Matched :- 'True'
2021-06-08 01:42:59,963 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed As This The First Heading | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12001' | prevHeadingCurrId :- '' | prevHeadingFoundId :- ''
2021-06-08 01:42:59,995 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- '1. BEZEICHNUNG DES ARZNEIMITTELS' | Qrd txt :- '1. BEZEICHNUNG DES ARZNEIMITTELS' | Matched :- 'True'
2021-06-08 01:43:00,011 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12003' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12001'
2021-06-08 01:43:00,011 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12003' | prevHeadingCurrId :- '12001' | prevHeadingFoundId :- '12001'
2021-06-08 01:43:01,012 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- '2. QUALITATIVE UND QUANTITATIVE ZUSAMMENSETZUNG' | Qrd txt :- '2. QUALITATIVE UND QUANTITATIVE ZUSAMMENSETZUNG' | Matched :- 'True'
2021-06-08 01:43:01,020 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12004' | prevHeadingCurrId :- '12003' | prevHeadingFoundId :- '12003'
2021-06-08 01:43:03,669 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed : <=7|2.04|(99, 100, 100)|0.998| | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'Sonstige(r) Bestandteil(e) mit bekannter Wirkung:' | Qrd txt :- 'Sonstige(r) Bestandteil(e) mit bekannter Wirkung' | Matched :- 'True'
2021-06-08 01:43:03,669 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12007' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12004'
2021-06-08 01:43:03,677 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Failed As Current H3 Heading Is Not Part Of Valid H3 Headings in Previous H2 | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12007' | prevHeadingCurrId :- '12004' | prevHeadingFoundId :- '12004'
2021-06-08 01:43:04,844 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- '3. DARREICHUNGSFORM' | Qrd txt :- '3. DARREICHUNGSFORM' | Matched :- 'True'
2021-06-08 01:43:04,852 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12008' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12004'
2021-06-08 01:43:04,852 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12008' | prevHeadingCurrId :- '12004' | prevHeadingFoundId :- '12004'
2021-06-08 01:43:05,781 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- '4. KLINISCHE ANGABEN' | Qrd txt :- '4. KLINISCHE ANGABEN' | Matched :- 'True'
2021-06-08 01:43:05,781 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12009' | prevHeadingCurrId :- '12008' | prevHeadingFoundId :- '12008'
2021-06-08 01:43:05,841 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- '4.1 Anwendungsgebiete' | Qrd txt :- '4.1 Anwendungsgebiete' | Matched :- 'True'
2021-06-08 01:43:05,851 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12010' | prevHeadingCurrId :- '12009' | prevHeadingFoundId :- '12009'
2021-06-08 01:43:06,852 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- '4.2 Dosierung und Art der Anwendung' | Qrd txt :- '4.2 Dosierung und Art der Anwendung' | Matched :- 'True'
2021-06-08 01:43:06,860 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12011' | prevHeadingCurrId :- '12010' | prevHeadingFoundId :- '12010'
2021-06-08 01:43:07,101 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'Dosierung' | Qrd txt :- 'Dosierung' | Matched :- 'True'
2021-06-08 01:43:07,109 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Failed As Current H3 Heading Is Not Part Of Valid H3 Headings in Previous H2 | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12012' | prevHeadingCurrId :- '12011' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:12,441 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'Kinder und Jugendliche' | Qrd txt :- 'Kinder und Jugendliche' | Matched :- 'True'
2021-06-08 01:43:12,449 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12013' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:12,457 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Failed As Current H3 Heading Is Not Part Of Valid H3 Headings in Previous H2 | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12013' | prevHeadingCurrId :- '12011' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:12,497 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'Kinder und Jugendliche' | Qrd txt :- 'Kinder und Jugendliche' | Matched :- 'True'
2021-06-08 01:43:12,505 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12019' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:12,513 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Failed As Current H3 Heading Is Not Part Of Valid H3 Headings in Previous H2 | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12019' | prevHeadingCurrId :- '12011' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:12,521 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'Kinder und Jugendliche' | Qrd txt :- 'Kinder und Jugendliche' | Matched :- 'True'
2021-06-08 01:43:12,537 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12021' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:12,545 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Failed As Current H3 Heading Is Not Part Of Valid H3 Headings in Previous H2 | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12021' | prevHeadingCurrId :- '12011' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:12,579 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'Kinder und Jugendliche' | Qrd txt :- 'Kinder und Jugendliche' | Matched :- 'True'
2021-06-08 01:43:12,585 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12028' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:12,597 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Failed As Current H3 Heading Is Not Part Of Valid H3 Headings in Previous H2 | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12028' | prevHeadingCurrId :- '12011' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:12,609 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'Kinder und Jugendliche' | Qrd txt :- 'Kinder und Jugendliche' | Matched :- 'True'
2021-06-08 01:43:12,621 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12031' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:12,630 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Failed As Current H3 Heading Is Not Part Of Valid H3 Headings in Previous H2 | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12031' | prevHeadingCurrId :- '12011' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:12,669 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'Kinder und Jugendliche' | Qrd txt :- 'Kinder und Jugendliche' | Matched :- 'True'
2021-06-08 01:43:12,677 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12037' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:12,686 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Failed As Current H3 Heading Is Not Part Of Valid H3 Headings in Previous H2 | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12037' | prevHeadingCurrId :- '12011' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:13,349 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'Art der Anwendung' | Qrd txt :- 'Art der Anwendung' | Matched :- 'True'
2021-06-08 01:43:13,357 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12014' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:13,365 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Failed As Current H3 Heading Is Not Part Of Valid H3 Headings in Previous H2 | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12014' | prevHeadingCurrId :- '12011' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:14,555 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- '4.3 Gegenanzeigen' | Qrd txt :- '4.3 Gegenanzeigen' | Matched :- 'True'
2021-06-08 01:43:14,563 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12016' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:14,576 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12016' | prevHeadingCurrId :- '12011' | prevHeadingFoundId :- '12011'
2021-06-08 01:43:19,241 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- '4.4 Besondere Warnhinweise und Vorsichtsmaßnahmen für die Anwendung' | Qrd txt :- '4.4 Besondere Warnhinweise und Vorsichtsmaßnahmen für die Anwendung' | Matched :- 'True'
2021-06-08 01:43:19,249 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12017' | prevHeadingCurrId :- '12016' | prevHeadingFoundId :- '12016'
2021-06-08 01:43:32,241 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- '4.5 Wechselwirkungen mit anderen Arzneimitteln und sonstige Wechselwirkungen' | Qrd txt :- '4.5 Wechselwirkungen mit anderen Arzneimitteln und sonstige Wechselwirkungen' | Matched :- 'True'
2021-06-08 01:43:32,241 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12020' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12017'
2021-06-08 01:43:32,249 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12020' | prevHeadingCurrId :- '12017' | prevHeadingFoundId :- '12017'
2021-06-08 01:43:32,377 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- '4.6 Fertilität, Schwangerschaft und Stillzeit' | Qrd txt :- '4.6 Fertilität, Schwangerschaft und Stillzeit' | Matched :- 'True'
2021-06-08 01:43:32,385 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12022' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12020'
2021-06-08 01:43:32,393 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12022' | prevHeadingCurrId :- '12020' | prevHeadingFoundId :- '12020'
2021-06-08 01:43:32,491 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'Schwangerschaft' | Qrd txt :- 'Schwangerschaft' | Matched :- 'True'
2021-06-08 01:43:32,499 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Failed As Current H3 Heading Is Not Part Of Valid H3 Headings in Previous H2 | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12023' | prevHeadingCurrId :- '12022' | prevHeadingFoundId :- '12022'
2021-06-08 01:43:32,978 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'Stillzeit' | Qrd txt :- 'Stillzeit' | Matched :- 'True'
2021-06-08 01:43:32,986 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12024' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12022'
2021-06-08 01:43:32,994 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Failed As Current H3 Heading Is Not Part Of Valid H3 Headings in Previous H2 | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12024' | prevHeadingCurrId :- '12022' | prevHeadingFoundId :- '12022'
2021-06-08 01:43:33,468 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'Fertilität' | Qrd txt :- 'Fertilität' | Matched :- 'True'
2021-06-08 01:43:33,476 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12025' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12022'
2021-06-08 01:43:33,484 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Failed As Current H3 Heading Is Not Part Of Valid H3 Headings in Previous H2 | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12025' | prevHeadingCurrId :- '12022' | prevHeadingFoundId :- '12022'
2021-06-08 01:43:34,091 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- '4.7 Auswirkungen auf die Verkehrstüchtigkeit und die Fähigkeit zum Bedienen von Maschinen' | Qrd txt :- '4.7 Auswirkungen auf die Verkehrstüchtigkeit und die Fähigkeit zum Bedienen von Maschinen' | Matched :- 'True'
2021-06-08 01:43:34,099 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12026' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12022'
2021-06-08 01:43:34,103 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12026' | prevHeadingCurrId :- '12022' | prevHeadingFoundId :- '12022'
2021-06-08 01:43:34,453 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- '4.8 Nebenwirkungen' | Qrd txt :- '4.8 Nebenwirkungen' | Matched :- 'True'
2021-06-08 01:43:34,461 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12027' | prevHeadingCurrId :- '12026' | prevHeadingFoundId :- '12026'
2021-06-08 01:43:37,766 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'Meldung des Verdachts auf Nebenwirkungen' | Qrd txt :- 'Meldung des Verdachts auf Nebenwirkungen' | Matched :- 'True'
2021-06-08 01:43:37,774 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12029' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12027'
2021-06-08 01:43:37,790 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Failed As Current H3 Heading Is Not Part Of Valid H3 Headings in Previous H2 | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12029' | prevHeadingCurrId :- '12027' | prevHeadingFoundId :- '12027'
2021-06-08 01:43:38,225 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- '4.9 Überdosierung' | Qrd txt :- '4.9 Überdosierung' | Matched :- 'True'
2021-06-08 01:43:38,233 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12030' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12027'
2021-06-08 01:43:38,241 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12030' | prevHeadingCurrId :- '12027' | prevHeadingFoundId :- '12027'
2021-06-08 01:43:38,765 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- '5. PHARMAKOLOGISCHE EIGENSCHAFTEN' | Qrd txt :- '5. PHARMAKOLOGISCHE EIGENSCHAFTEN' | Matched :- 'True'
2021-06-08 01:43:38,774 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12032' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12030'
2021-06-08 01:43:38,778 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12032' | prevHeadingCurrId :- '12030' | prevHeadingFoundId :- '12030'
2021-06-08 01:43:39,006 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- '5.1 Pharmakodynamische Eigenschaften' | Qrd txt :- '5.1 Pharmakodynamische Eigenschaften' | Matched :- 'True'
2021-06-08 01:43:39,014 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12033' | prevHeadingCurrId :- '12032' | prevHeadingFoundId :- '12032'
2021-06-08 01:43:39,694 : Heading Extraction Ovaleap_clean_SmPC.json_V : Match Passed | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'Pharmakodynamische Wirkungen' | Qrd txt :- 'Pharmakodynamische Wirkungen' | Matched :- 'True'
2021-06-08 01:43:39,702 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Flow Is Broken | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12035' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '12033'
2021-06-08 01:43:39,710 : Heading Extraction Ovaleap_clean_SmPC.json_V : Validation Failed As Current H3 Heading Is Not Part Of Valid H3 Headings in Previous H2 | H | CAP |  de | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '12035' | prevHeadingCurrId :- '12033' | prevHeadingFoundId :- '12033'
