,id,Procedure type,Document type,Language code,Display code,Name,parent_id,Mandatory
7,1007,CAP,AnnexII,bg,В.,ДРУГИ УСЛОВИЯ И ИЗИСКВАНИЯ НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,1001.0,True
8,1008,CAP,AnnexII,bg,,Периодични актуализирани доклади за безопасност (ПАДБ),1007.0,True
9,1009,CAP,AnnexII,bg,Г.,УСЛОВИЯ ИЛИ ОГРАНИЧЕНИЯ ЗА БЕЗОПАСНА И ЕФЕКТИВНА УПОТРЕБА НА ЛЕКАРСТВЕНИЯ ПРОДУКТ,1001.0,True
10,1010,CAP,AnnexII,bg,,План за управление на риска (ПУР),1009.0,True
11,1011,CAP,AnnexII,bg,,Допълнителни мерки за свеждане на риска до минимум,1009.0,False
12,1012,CAP,AnnexII,bg,,Задължение за провеждане на мерки след разрешаване за употреба,1009.0,False
13,1013,CAP,AnnexII,bg,Д.,КОНКРЕТНО ЗАДЪЛЖЕНИЕ ЗА ИЗПЪЛНЕНИЕ НА МЕРКИ СЛЕД <РАЗРЕШАВАНЕ ЗА УПОТРЕБА ПОД УСЛОВИЕ> <РАЗРЕШАВАНЕ ЗА УПОТРЕБА ПРИ ИЗВЪНРЕДНИ ОБСТОЯТЕЛСТВА>,1001.0,False
1,2001,CAP,Labelling,bg,,ДАННИ ВЪРХУ ОПАКОВКАТА,,True
2,2002,CAP,Labelling,bg,,"ДАННИ, КОИТО ТРЯБВА ДА СЪДЪРЖА <ВТОРИЧНАТА ОПАКОВКА> <И> <ПЪРВИЧНАТА ОПАКОВКА>",2001.0,True
3,2003,CAP,Labelling,bg,1,ИМЕ НА ЛЕКАРСТВЕНИЯ ПРОДУКТ,2002.0,True
4,2004,CAP,Labelling,bg,2,ОБЯВЯВАНЕ НА АКТИВНОТО(ИТЕ) ВЕЩЕСТВО(А),2002.0,True
5,2005,CAP,Labelling,bg,3,СПИСЪК НА ПОМОЩНИТЕ ВЕЩЕСТВА,2002.0,True
6,2006,CAP,Labelling,bg,4,ЛЕКАРСТВЕНА ФОРМА И КОЛИЧЕСТВО В ЕДНА ОПАКОВКА,2002.0,True
7,2007,CAP,Labelling,bg,5,НАЧИН НА ПРИЛОЖЕНИЕ И ПЪТ(ИЩА) НА ВЪВЕЖДАНЕ,2002.0,True
8,2008,CAP,Labelling,bg,6,"СПЕЦИАЛНО ПРЕДУПРЕЖДЕНИЕ, ЧЕ ЛЕКАРСТВЕНИЯТ ПРОДУКТ ТРЯБВА ДА СЕ СЪХРАНЯВА НА МЯСТО ДАЛЕЧЕ ОТ ПОГЛЕДА И ДОСЕГА НА ДЕЦА ",2002.0,True
9,2009,CAP,Labelling,bg,7,"ДРУГИ СПЕЦИАЛНИ ПРЕДУПРЕЖДЕНИЯ, АКО Е НЕОБХОДИМО",2002.0,True
10,2010,CAP,Labelling,bg,8,ДАТА НА ИЗТИЧАНЕ НА СРОКА НА ГОДНОСТ,2002.0,True
11,2011,CAP,Labelling,bg,9,СПЕЦИАЛНИ УСЛОВИЯ НА СЪХРАНЕНИЕ,2002.0,True
12,2012,CAP,Labelling,bg,10,"СПЕЦИАЛНИ ПРЕДПАЗНИ МЕРКИ ПРИ ИЗХВЪРЛЯНЕ НА НЕИЗПОЛЗВАНА ЧАСТ ОТ ЛЕКАРСТВЕНИТЕ ПРОДУКТИ ИЛИ ОТПАДЪЧНИ МАТЕРИАЛИ ОТ ТЯХ, АКО СЕ ИЗИСКВАТ ТАКИВА",2002.0,True
13,2013,CAP,Labelling,bg,11,ИМЕ И АДРЕС НА ПРИТЕЖАТЕЛЯ НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,2002.0,True
14,2014,CAP,Labelling,bg,12,НОМЕР(А) НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,2002.0,True
15,2015,CAP,Labelling,bg,13,"ПАРТИДЕН НОМЕР<, КОДОВЕ НА ДАРЕНИЕТО И НА ПРОДУКТА>",2002.0,True
16,2016,CAP,Labelling,bg,14,НАЧИН НА ОТПУСКАНЕ,2002.0,True
17,2017,CAP,Labelling,bg,15,УКАЗАНИЯ ЗА УПОТРЕБА,2002.0,True
18,2018,CAP,Labelling,bg,16,ИНФОРМАЦИЯ НА БРАЙЛОВА АЗБУКА,2002.0,True
19,2019,CAP,Labelling,bg,17,УНИКАЛЕН ИДЕНТИФИКАТОР — ДВУИЗМЕРЕН БАРКОД,2002.0,True
20,2020,CAP,Labelling,bg,18,УНИКАЛЕН ИДЕНТИФИКАТОР — ДАННИ ЗА ЧЕТЕНЕ ОТ ХОРА,2002.0,True
21,2021,CAP,Labelling,bg,,"МИНИМУМ ДАННИ, КОИТО ТРЯБВА ДА СЪДЪРЖАТ БЛИСТЕРИТЕ И ЛЕНТИТЕ",2001.0,True
22,2022,CAP,Labelling,bg,1,ИМЕ НА ЛЕКАРСТВЕНИЯ ПРОДУКТ,2021.0,True
23,2023,CAP,Labelling,bg,2,ИМЕ НА ПРИТЕЖАТЕЛЯ НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,2021.0,True
24,2024,CAP,Labelling,bg,3,ДАТА НА ИЗТИЧАНЕ НА СРОКА НА ГОДНОСТ,2021.0,True
25,2025,CAP,Labelling,bg,4,"ПАРТИДЕН НОМЕР<, КОДОВЕ НА ДАРЕНИЕТО И НА ПРОДУКТА>",2021.0,True
26,2026,CAP,Labelling,bg,5,ДРУГО,2021.0,True
27,2027,CAP,Labelling,bg,,"МИНИМУМ ДАННИ, КОИТО ТРЯБВА ДА СЪДЪРЖАТ МАЛКИТЕ ЕДИНИЧНИ ПЪРВИЧНИ ОПАКОВКИ",2001.0,True
28,2028,CAP,Labelling,bg,1,ИМЕ НА ЛЕКАРСТВЕНИЯ ПРОДУКT И ПЪТ(ИЩА) НА ВЪВЕЖДАНЕ,2027.0,True
29,2029,CAP,Labelling,bg,2,НАЧИН НА ПРИЛОЖЕНИЕ,2027.0,True
30,2030,CAP,Labelling,bg,3,ДАТА НА ИЗТИЧАНЕ НА СРОКА НА ГОДНОСТ,2027.0,True
31,2031,CAP,Labelling,bg,4,"ПАРТИДЕН НОМЕР<, КОДОВЕ НА ДАРЕНИЕТО И НА ПРОДУКТА>",2027.0,True
32,2032,CAP,Labelling,bg,5,"СЪДЪРЖАНИЕ КАТО МАСА, ОБЕМ ИЛИ ЕДИНИЦИ",2027.0,True
33,2033,CAP,Labelling,bg,6,ДРУГО,2027.0,True
1,3001,CAP,Package leaflet,bg,, ЛИСТОВКА,,True
2,3002,CAP,Package leaflet,bg,,"q Този лекарствен продукт подлежи на допълнително наблюдение. Това ще позволи бързото установяване на нова информация относно безопасността. Можете да дадете своя принос като съобщите всяка нежелана реакция, която сте получили. За начина на съобщаване на нежелани реакции вижте края на точка 4. ",3001.0,False
3,3003,CAP,Package leaflet,bg,,Какво съдържа тази листовка,3001.0,True
4,3004,CAP,Package leaflet,bg,1,Какво представлява Х и за какво се използва,3001.0,True
5,3005,CAP,Package leaflet,bg,2,"Какво трябва да знаете, преди да <приемете> <използвате> Х",3001.0,True
6,3006,CAP,Package leaflet,bg,,Не <приемайте> <използвайте> X,3005.0,True
7,3007,CAP,Package leaflet,bg,,Предупреждения и предпазни мерки,3005.0,True
8,3008,CAP,Package leaflet,bg,,Деца <и юноши>,3005.0,True
9,3009,CAP,Package leaflet,bg,,Други лекарства и Х,3005.0,True
10,3010,CAP,Package leaflet,bg,,"X с <храна> <и> <,> <напитки> <и> <алкохол>",3005.0,True
11,3011,CAP,Package leaflet,bg,,"Бременност <и> <,> кърмене <и фертилитет>",3005.0,True
12,3012,CAP,Package leaflet,bg,,Шофиране и работа с машини,3005.0,True
13,3013,CAP,Package leaflet,bg,,X съдържа {име на помощното(ите) вещество(а)},3005.0,False
14,3014,CAP,Package leaflet,bg,3,Как да <приемате> <използвате> Х,3001.0,True
15,3015,CAP,Package leaflet,bg,,Употреба при деца <и юноши>,3014.0,False
16,3016,CAP,Package leaflet,bg,,Ако сте <приели> <използвали> повече от необходимата доза X,3014.0,False
17,3017,CAP,Package leaflet,bg,,Ако сте пропуснали да <приемете> <използвате> X,3014.0,False
18,3018,CAP,Package leaflet,bg,,Ако сте спрели <приема> <употребата> на X,3014.0,False
19,3019,CAP,Package leaflet,bg,4,Възможни нежелани реакции,3001.0,True
20,3020,CAP,Package leaflet,bg,,Допълнителни нежелани реакции при деца <и юноши,3019.0,False
21,3021,CAP,Package leaflet,bg,,Съобщаване на нежелани реакции,3019.0,True
22,3022,CAP,Package leaflet,bg,5,Как да съхранявате X,3001.0,True
23,3023,CAP,Package leaflet,bg,6,Съдържание на опаковката и допълнителна информация,3001.0,True
24,3024,CAP,Package leaflet,bg,,Какво съдържа X,3023.0,True
25,3025,CAP,Package leaflet,bg,,Как изглежда X и какво съдържа опаковката ,3023.0,True
26,3026,CAP,Package leaflet,bg,,Притежател на разрешението за употреба и производител,3023.0,True
27,3027,CAP,Package leaflet,bg,,"За допълнителна информация относно това лекарствo, моля, свържете се с локалния представител на притежателя на разрешението за употреба:",3023.0,False
28,3028,CAP,Package leaflet,bg,,Дата на последно преразглеждане на листовката <{ММ /ГГГГ}> <{месец ГГГГ}>.,3023.0,True
29,3029,CAP,Package leaflet,bg,,Други източници на информация,3023.0,False
30,3030,CAP,Package leaflet,bg,,Посочената по-долу информация е предназначена само за медицински специалисти:,3001.0,False
1,4001,CAP,SmPC,cs,,SOUHRN ÚDAJŮ O PŘÍPRAVKU,,True
2,4002,CAP,SmPC,cs,,"qTento léčivý přípravek podléhá dalšímu sledování. To umožní rychlé získání nových informací o bezpečnosti. Žádáme zdravotnické pracovníky, aby hlásili jakákoli podezření na nežádoucí účinky. Podrobnosti o hlášení nežádoucích účinků viz bod 4.8.",4001.0,False
3,4003,CAP,SmPC,cs,1,NÁZEV PŘÍPRAVKU,4001.0,True
4,4004,CAP,SmPC,cs,2,KVALITATIVNÍ A KVANTITATIVNÍ SLOŽENÍ,4001.0,True
5,4005,CAP,SmPC,cs,2.1,Obecný popis,4004.0,False
6,4006,CAP,SmPC,cs,2.2,Kvalitativní a kvantitativní složení,4004.0,False
7,4007,CAP,SmPC,cs,,<Pomocná látka> <Pomocné látky> se známým účinkem,4006.0,False
8,4008,CAP,SmPC,cs,3,LÉKOVÁ FORMA,4001.0,True
9,4009,CAP,SmPC,cs,4,KLINICKÉ ÚDAJE,4001.0,True
10,4010,CAP,SmPC,cs,4.1,Terapeutické indikace,4009.0,True
11,4011,CAP,SmPC,cs,4.2,Dávkování a způsob podání,4009.0,True
12,4012,CAP,SmPC,cs,,Dávkování,4011.0,True
13,4013,CAP,SmPC,cs,,Pediatrická populace,4012.0,True
14,4014,CAP,SmPC,cs,,Způsob podání,4011.0,True
15,4015,CAP,SmPC,cs,,"Opatření, která je nutno učinit před zacházením s léčivým přípravkem nebo před jeho podáním",4014.0,False
16,4016,CAP,SmPC,cs,4.3,Kontraindikace,4009.0,True
17,4017,CAP,SmPC,cs,4.4,Zvláštní upozornění a opatření pro použití,4009.0,True
18,4018,CAP,SmPC,cs,,Sledovatelnost,4017.0,False
19,4019,CAP,SmPC,cs,,Pediatrická populace,4017.0,False
20,4020,CAP,SmPC,cs,4.5,Interakce s jinými léčivými přípravky a jiné formy interakce,4009.0,True
21,4021,CAP,SmPC,cs,,Pediatrická populace,4020.0,False
22,4022,CAP,SmPC,cs,4.6,"Fertilita, těhotenství a kojení",4009.0,True
23,4023,CAP,SmPC,cs,,Těhotenství,4022.0,False
24,4024,CAP,SmPC,cs,,Kojení,4022.0,False
25,4025,CAP,SmPC,cs,,Fertilita,4022.0,False
26,4026,CAP,SmPC,cs,4.7,Účinky na schopnost řídit a obsluhovat stroje,4009.0,True
27,4027,CAP,SmPC,cs,4.8,Nežádoucí účinky,4009.0,True
28,4028,CAP,SmPC,cs,,Pediatrická populace,4027.0,False
29,4029,CAP,SmPC,cs,,Hlášení podezření na nežádoucí účinky,4027.0,True
30,4030,CAP,SmPC,cs,4.9,Předávkování,4009.0,True
31,4031,CAP,SmPC,cs,,Pediatrická populace,4030.0,False
32,4032,CAP,SmPC,cs,5,FARMAKOLOGICKÉ VLASTNOSTI,4001.0,True
33,4033,CAP,SmPC,cs,5.1,Farmakodynamické vlastnosti,4032.0,True
34,4034,CAP,SmPC,cs,,Mechanismus účinku,4033.0,False
35,4035,CAP,SmPC,cs,,Farmakodynamické účinky,4033.0,False
36,4036,CAP,SmPC,cs,,Klinická účinnost a bezpečnost,4033.0,False
37,4037,CAP,SmPC,cs,,Pediatrická populace,4033.0,False
38,4038,CAP,SmPC,cs,5.2,Farmakokinetické vlastnosti,4032.0,True
39,4039,CAP,SmPC,cs,,Absorpce,4038.0,False
40,4040,CAP,SmPC,cs,,Distribuce,4038.0,False
41,4041,CAP,SmPC,cs,,Biotransformace,4038.0,False
42,4042,CAP,SmPC,cs,,Eliminace,4038.0,False
43,4043,CAP,SmPC,cs,,Linearita/nelinearita,4038.0,False
44,4044,CAP,SmPC,cs,,Farmakokinetické/farmakodynamické vztahy,4038.0,False
45,4045,CAP,SmPC,cs,5.3,Předklinické údaje vztahující se k bezpečnosti,4032.0,True
46,4046,CAP,SmPC,cs,,Posouzení rizika pro životní prostředí,4045.0,False
47,4047,CAP,SmPC,cs,6,FARMACEUTICKÉ ÚDAJE,4001.0,True
48,4048,CAP,SmPC,cs,6.1,Seznam pomocných látek,4047.0,True
49,4049,CAP,SmPC,cs,6.2,Inkompatibility,4047.0,True
50,4050,CAP,SmPC,cs,6.3,Doba použitelnosti,4047.0,True
51,4051,CAP,SmPC,cs,6.4,Zvláštní opatření pro uchovávání,4047.0,True
52,4052,CAP,SmPC,cs,6.5,"Druh obalu a obsah balení <a zvláštní vybavení pro použití, podání nebo implantaci>",4047.0,True
53,4053,CAP,SmPC,cs,6.6,Zvláštní opatření pro likvidaci přípravku <a pro zacházení s ním>,4047.0,True
54,4054,CAP,SmPC,cs,,Použití u pediatrické populace,4053.0,False
55,4055,CAP,SmPC,cs,7,DRŽITEL ROZHODNUTÍ O REGISTRACI,4001.0,True
56,4056,CAP,SmPC,cs,8,REGISTRAČNÍ ČÍSLO/REGISTRAČNÍ ČÍSLA ,4001.0,True
57,4057,CAP,SmPC,cs,9,DATUM PRVNÍ REGISTRACE/PRODLOUŽENÍ REGISTRACE,4001.0,True
58,4058,CAP,SmPC,cs,10,DATUM REVIZE TEXTU,4001.0,True
59,4059,CAP,SmPC,cs,11,DOZIMETRIE,4001.0,False
60,4060,CAP,SmPC,cs,12,NÁVOD PRO PŘÍPRAVU RADIOFARMAK,4001.0,False
1,5001,CAP,AnnexII,cs,,PŘÍLOHA II,,True
2,5002,CAP,AnnexII,cs,A,<VÝROBCE/VÝROBCI BIOLOGICKÉ LÉČIVÉ LÁTKY/BIOLOGICKÝCH LÉČIVÝCH LÁTEK A> VÝROBCE ODPOVĚDNÝ/VÝROBCI ODPOVĚDNÍ ZA PROPOUŠTĚNÍ ŠARŽÍ,5001.0,True
3,5003,CAP,AnnexII,cs,,Název a adresa výrobce/výrobců biologické léčivé látky/biologických léčivých látek,5002.0,False
4,5004,CAP,AnnexII,cs,,Název a adresa výrobce odpovědného/výrobců odpovědných za propouštění šarží,5002.0,True
5,5005,CAP,AnnexII,cs,B,PODMÍNKY NEBO OMEZENÍ VÝDEJE A POUŽITÍ ,5001.0,True
6,5006,CAP,AnnexII,cs,,Úřední propouštění šarží,5005.0,False
7,5007,CAP,AnnexII,cs,C,DALŠÍ PODMÍNKY A POŽADAVKY REGISTRACE,5001.0,True
8,5008,CAP,AnnexII,cs,,Pravidelně aktualizované zprávy o bezpečnosti (PSUR),5007.0,True
9,5009,CAP,AnnexII,cs,D,PODMÍNKY NEBO OMEZENÍ S OHLEDEM NA BEZPEČNÉ A ÚČINNÉ POUŽÍVÁNÍ LÉČIVÉHO PŘÍPRAVKU,5001.0,True
10,5010,CAP,AnnexII,cs,,Plán řízení rizik (RMP),5009.0,True
11,5011,CAP,AnnexII,cs,,Další opatření k minimalizaci rizik,5009.0,False
12,5012,CAP,AnnexII,cs,,Povinnost uskutečnit poregistrační opatření,5009.0,False
13,5013,CAP,AnnexII,cs,E,ZVLÁŠTNÍ POVINNOST USKUTEČNIT POREGISTRAČNÍ OPATŘENÍ PRO <PODMÍNĚNOU REGISTRACI PŘÍPRAVKU> <REGISTRACI PŘÍPRAVKU ZA VÝJIMEČNÝCH OKOLNOSTÍ>,5001.0,False
1,6001,CAP,Labelling,cs,,OZNAČENÍ NA OBALU,,True
2,6002,CAP,Labelling,cs,,ÚDAJE UVÁDĚNÉ NA <VNĚJŠÍM OBALU> <A> <VNITŘNÍM OBALU>,6001.0,True
3,6003,CAP,Labelling,cs,1,NÁZEV LÉČIVÉHO PŘÍPRAVKU,6002.0,True
4,6004,CAP,Labelling,cs,2,OBSAH LÉČIVÉ LÁTKY/LÉČIVÝCH LÁTEK,6002.0,True
5,6005,CAP,Labelling,cs,3,SEZNAM POMOCNÝCH LÁTEK,6002.0,True
6,6006,CAP,Labelling,cs,4,LÉKOVÁ FORMA A OBSAH BALENÍ,6002.0,True
7,6007,CAP,Labelling,cs,5,ZPŮSOB A CESTA/CESTY PODÁNÍ,6002.0,True
8,6008,CAP,Labelling,cs,6,"ZVLÁŠTNÍ UPOZORNĚNÍ, ŽE LÉČIVÝ PŘÍPRAVEK MUSÍ BÝT UCHOVÁVÁN MIMO DOHLED A DOSAH DĚTÍ",6002.0,True
9,6009,CAP,Labelling,cs,7,"DALŠÍ ZVLÁŠTNÍ UPOZORNĚNÍ, POKUD JE POTŘEBNÉ",6002.0,True
10,6010,CAP,Labelling,cs,8,POUŽITELNOST,6002.0,True
11,6011,CAP,Labelling,cs,9,ZVLÁŠTNÍ PODMÍNKY PRO UCHOVÁVÁNÍ,6002.0,True
12,6012,CAP,Labelling,cs,10,"ZVLÁŠTNÍ OPATŘENÍ PRO LIKVIDACI NEPOUŽITÝCH LÉČIVÝCH PŘÍPRAVKŮ NEBO ODPADU Z NICH, POKUD JE TO VHODNÉ",6002.0,True
13,6013,CAP,Labelling,cs,11,NÁZEV A ADRESA DRŽITELE ROZHODNUTÍ O REGISTRACI,6002.0,True
14,6014,CAP,Labelling,cs,12,REGISTRAČNÍ ČÍSLO/ČÍSLA,6002.0,True
15,6015,CAP,Labelling,cs,13,"ČÍSLO ŠARŽE <, KÓD DÁRCE A KÓD LÉČIVÉHO PŘÍPRAVKU>",6002.0,True
16,6016,CAP,Labelling,cs,14,KLASIFIKACE PRO VÝDEJ,6002.0,True
17,6017,CAP,Labelling,cs,15,NÁVOD K POUŽITÍ,6002.0,True
18,6018,CAP,Labelling,cs,16,INFORMACE V BRAILLOVĚ PÍSMU,6002.0,True
19,6019,CAP,Labelling,cs,17,JEDINEČNÝ IDENTIFIKÁTOR – 2D ČÁROVÝ KÓD,6002.0,True
20,6020,CAP,Labelling,cs,18,JEDINEČNÝ IDENTIFIKÁTOR – DATA ČITELNÁ OKEM,6002.0,True
21,6021,CAP,Labelling,cs,,MINIMÁLNÍ ÚDAJE UVÁDĚNÉ NA BLISTRECH NEBO STRIPECH,6001.0,True
22,6022,CAP,Labelling,cs,1,NÁZEV LÉČIVÉHO PŘÍPRAVKU,6021.0,True
23,6023,CAP,Labelling,cs,2,NÁZEV DRŽITELE ROZHODNUTÍ O REGISTRACI,6021.0,True
24,6024,CAP,Labelling,cs,3,POUŽITELNOST,6021.0,True
25,6025,CAP,Labelling,cs,4,"ČÍSLO ŠARŽE <, KÓD DÁRCE A KÓD LÉČIVÉHO PŘÍPRAVKU>",6021.0,True
26,6026,CAP,Labelling,cs,5,JINÉ,6021.0,True
27,6027,CAP,Labelling,cs,,MINIMÁLNÍ ÚDAJE UVÁDĚNÉ NA MALÉM VNITŘNÍM OBALU,6001.0,True
28,6028,CAP,Labelling,cs,1,NÁZEV LÉČIVÉHO PŘÍPRAVKU A CESTA/CESTY PODÁNÍ,6027.0,True
29,6029,CAP,Labelling,cs,2,ZPŮSOB PODÁNÍ,6027.0,True
30,6030,CAP,Labelling,cs,3,POUŽITELNOST,6027.0,True
31,6031,CAP,Labelling,cs,4,"ČÍSLO ŠARŽE <, KÓD DÁRCE A KÓD LÉČIVÉHO PŘÍPRAVKU",6027.0,True
32,6032,CAP,Labelling,cs,5,"OBSAH UDANÝ JAKO HMOTNOST, OBJEM NEBO POČET",6027.0,True
33,6033,CAP,Labelling,cs,6,JINÉ,6027.0,True
1,7001,CAP,Package leaflet,cs,,PŘÍBALOVÁ INFORMACE,,True
2,7002,CAP,Package leaflet,cs,,"qTento přípravek podléhá dalšímu sledování. To umožní rychlé získání nových informací o bezpečnosti. Můžete přispět tím, že nahlásíte jakékoli nežádoucí účinky, které se u Vás vyskytnou. Jak hlásit nežádoucí účinky je popsáno v závěru bodu 4.",7001.0,False
3,7003,CAP,Package leaflet,cs,,Co naleznete v této příbalové informaci,7001.0,True
4,7004,CAP,Package leaflet,cs,1,Co je <přípravek> X a k čemu se používá,7001.0,True
5,7005,CAP,Package leaflet,cs,2,"Čemu musíte věnovat pozornost, než začnete <přípravek> X <užívat> <používat> ",7001.0,True
6,7006,CAP,Package leaflet,cs,,<Neužívejte> <Nepoužívejte> <přípravek> X,7005.0,True
7,7007,CAP,Package leaflet,cs,,Upozornění a opatření ,7005.0,True
8,7008,CAP,Package leaflet,cs,,Děti <a dospívající>,7005.0,True
9,7009,CAP,Package leaflet,cs,,Další léčivé přípravky a <přípravek> X,7005.0,True
