,id,Procedure type,Document type,Language code,Display code,Name,parent_id,Mandatory,heading_id
43,44,CAP,SmPC,bg,,Връзка(и) фармакокинетика-фармакодинамика,38.0,False,44
44,45,CAP,SmPC,bg,5.3,Предклинични данни за безопасност,32.0,True,45
45,46,CAP,SmPC,bg,,Оценка на риска за околната среда (ERA),45.0,False,46
46,47,CAP,SmPC,bg,6,ФАРМАЦЕВТИЧНИ ДАННИ,1.0,True,47
47,48,CAP,SmPC,bg,6.1,Списък на помощните вещества,47.0,True,48
48,49,CAP,SmPC,bg,6.2,Несъвместимости,47.0,True,49
49,50,CAP,SmPC,bg,6.3,Срок на годност,47.0,True,50
50,51,CAP,SmPC,bg,6.4,Специални условия на съхранение,47.0,True,51
51,52,CAP,SmPC,bg,6.5,"Вид и съдържание на опаковката <и специални приспособления за употреба, приложение или имплантиране>",47.0,True,52
52,53,CAP,SmPC,bg,6.6,Специални предпазни мерки при изхвърляне <и работа>,47.0,True,53
53,54,CAP,SmPC,bg,,Употреба при педиатричната популация,53.0,False,54
54,55,CAP,SmPC,bg,7,ПРИТЕЖАТЕЛ НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,1.0,True,55
55,56,CAP,SmPC,bg,8,НОМЕР(А) НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,1.0,True,56
56,57,CAP,SmPC,bg,9,ДАТА НА ПЪРВО РАЗРЕШАВАНЕ/ПОДНОВЯВАНЕ НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,1.0,True,57
57,58,CAP,SmPC,bg,10,ДАТА НА АКТУАЛИЗИРАНЕ НА ТЕКСТА,1.0,True,58
58,59,CAP,SmPC,bg,11,ДОЗИМЕТРИЯ,1.0,False,59
59,60,CAP,SmPC,bg,12,ИНСТРУКЦИИ ЗА ПРИГОТВЯНЕ НА РАДИОФАРМАЦЕВТИЦИ ,1.0,False,60
60,1001,CAP,AnnexII,bg,,ПРИЛОЖЕНИЕ II,,True,1
61,1002,CAP,AnnexII,bg,A.,"<ПРОИЗВОДИТЕЛ(И) НА БИОЛОГИЧНО АКТИВНОТО(ИТЕ) ВЕЩЕСТВО(А) И>ПРОИЗВОДИТЕЛ(И), ОТГОВОРЕН(НИ) ЗА ОСВОБОЖДАВАНЕ НА ПАРТИДИ ",1001.0,True,2
62,1003,CAP,AnnexII,bg,,Име и адрес на производителя(ите) на биологично активното(ите) вещество(а),1002.0,False,3
63,1004,CAP,AnnexII,bg,,"Име и адрес на производителя(ите), отговорен(ни) за освобождаване на партидите",1002.0,True,4
64,1005,CAP,AnnexII,bg,Б.,УСЛОВИЯ ИЛИ ОГРАНИЧЕНИЯ ЗА ДОСТАВКА И УПОТРЕБА,1001.0,True,5
65,1006,CAP,AnnexII,bg,,Официално освобождаване на партиди,1005.0,False,6
66,1007,CAP,AnnexII,bg,В.,ДРУГИ УСЛОВИЯ И ИЗИСКВАНИЯ НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,1001.0,True,7
67,1008,CAP,AnnexII,bg,,Периодични актуализирани доклади за безопасност (ПАДБ),1007.0,True,8
68,1009,CAP,AnnexII,bg,Г.,УСЛОВИЯ ИЛИ ОГРАНИЧЕНИЯ ЗА БЕЗОПАСНА И ЕФЕКТИВНА УПОТРЕБА НА ЛЕКАРСТВЕНИЯ ПРОДУКТ,1001.0,True,9
69,1010,CAP,AnnexII,bg,,План за управление на риска (ПУР),1009.0,True,10
70,1011,CAP,AnnexII,bg,,Допълнителни мерки за свеждане на риска до минимум,1009.0,False,11
71,1012,CAP,AnnexII,bg,,Задължение за провеждане на мерки след разрешаване за употреба,1009.0,False,12
72,1013,CAP,AnnexII,bg,Д.,КОНКРЕТНО ЗАДЪЛЖЕНИЕ ЗА ИЗПЪЛНЕНИЕ НА МЕРКИ СЛЕД <РАЗРЕШАВАНЕ ЗА УПОТРЕБА ПОД УСЛОВИЕ> <РАЗРЕШАВАНЕ ЗА УПОТРЕБА ПРИ ИЗВЪНРЕДНИ ОБСТОЯТЕЛСТВА>,1001.0,False,13
73,2001,CAP,Labelling,bg,,ДАННИ ВЪРХУ ОПАКОВКАТА,,True,1
74,2002,CAP,Labelling,bg,,"ДАННИ, КОИТО ТРЯБВА ДА СЪДЪРЖА <ВТОРИЧНАТА ОПАКОВКА> <И> <ПЪРВИЧНАТА ОПАКОВКА>",2001.0,True,2
75,2003,CAP,Labelling,bg,1,ИМЕ НА ЛЕКАРСТВЕНИЯ ПРОДУКТ,2002.0,True,3
76,2004,CAP,Labelling,bg,2,ОБЯВЯВАНЕ НА АКТИВНОТО(ИТЕ) ВЕЩЕСТВО(А),2002.0,True,4
77,2005,CAP,Labelling,bg,3,СПИСЪК НА ПОМОЩНИТЕ ВЕЩЕСТВА,2002.0,True,5
78,2006,CAP,Labelling,bg,4,ЛЕКАРСТВЕНА ФОРМА И КОЛИЧЕСТВО В ЕДНА ОПАКОВКА,2002.0,True,6
79,2007,CAP,Labelling,bg,5,НАЧИН НА ПРИЛОЖЕНИЕ И ПЪТ(ИЩА) НА ВЪВЕЖДАНЕ,2002.0,True,7
80,2008,CAP,Labelling,bg,6,"СПЕЦИАЛНО ПРЕДУПРЕЖДЕНИЕ, ЧЕ ЛЕКАРСТВЕНИЯТ ПРОДУКТ ТРЯБВА ДА СЕ СЪХРАНЯВА НА МЯСТО ДАЛЕЧЕ ОТ ПОГЛЕДА И ДОСЕГА НА ДЕЦА ",2002.0,True,8
81,2009,CAP,Labelling,bg,7,"ДРУГИ СПЕЦИАЛНИ ПРЕДУПРЕЖДЕНИЯ, АКО Е НЕОБХОДИМО",2002.0,True,9
82,2010,CAP,Labelling,bg,8,ДАТА НА ИЗТИЧАНЕ НА СРОКА НА ГОДНОСТ,2002.0,True,10
83,2011,CAP,Labelling,bg,9,СПЕЦИАЛНИ УСЛОВИЯ НА СЪХРАНЕНИЕ,2002.0,True,11
84,2012,CAP,Labelling,bg,10,"СПЕЦИАЛНИ ПРЕДПАЗНИ МЕРКИ ПРИ ИЗХВЪРЛЯНЕ НА НЕИЗПОЛЗВАНА ЧАСТ ОТ ЛЕКАРСТВЕНИТЕ ПРОДУКТИ ИЛИ ОТПАДЪЧНИ МАТЕРИАЛИ ОТ ТЯХ, АКО СЕ ИЗИСКВАТ ТАКИВА",2002.0,True,12
85,2013,CAP,Labelling,bg,11,ИМЕ И АДРЕС НА ПРИТЕЖАТЕЛЯ НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,2002.0,True,13
86,2014,CAP,Labelling,bg,12,НОМЕР(А) НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,2002.0,True,14
87,2015,CAP,Labelling,bg,13,"ПАРТИДЕН НОМЕР<, КОДОВЕ НА ДАРЕНИЕТО И НА ПРОДУКТА>",2002.0,True,15
88,2016,CAP,Labelling,bg,14,НАЧИН НА ОТПУСКАНЕ,2002.0,True,16
89,2017,CAP,Labelling,bg,15,УКАЗАНИЯ ЗА УПОТРЕБА,2002.0,True,17
90,2018,CAP,Labelling,bg,16,ИНФОРМАЦИЯ НА БРАЙЛОВА АЗБУКА,2002.0,True,18
91,2019,CAP,Labelling,bg,17,УНИКАЛЕН ИДЕНТИФИКАТОР — ДВУИЗМЕРЕН БАРКОД,2002.0,True,19
92,2020,CAP,Labelling,bg,18,УНИКАЛЕН ИДЕНТИФИКАТОР — ДАННИ ЗА ЧЕТЕНЕ ОТ ХОРА,2002.0,True,20
93,2021,CAP,Labelling,bg,,"МИНИМУМ ДАННИ, КОИТО ТРЯБВА ДА СЪДЪРЖАТ БЛИСТЕРИТЕ И ЛЕНТИТЕ",2001.0,True,21
94,2022,CAP,Labelling,bg,1,ИМЕ НА ЛЕКАРСТВЕНИЯ ПРОДУКТ,2021.0,True,22
95,2023,CAP,Labelling,bg,2,ИМЕ НА ПРИТЕЖАТЕЛЯ НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,2021.0,True,23
96,2024,CAP,Labelling,bg,3,ДАТА НА ИЗТИЧАНЕ НА СРОКА НА ГОДНОСТ,2021.0,True,24
97,2025,CAP,Labelling,bg,4,"ПАРТИДЕН НОМЕР<, КОДОВЕ НА ДАРЕНИЕТО И НА ПРОДУКТА>",2021.0,True,25
98,2026,CAP,Labelling,bg,5,ДРУГО,2021.0,True,26
99,2027,CAP,Labelling,bg,,"МИНИМУМ ДАННИ, КОИТО ТРЯБВА ДА СЪДЪРЖАТ МАЛКИТЕ ЕДИНИЧНИ ПЪРВИЧНИ ОПАКОВКИ",2001.0,True,27
100,2028,CAP,Labelling,bg,1,ИМЕ НА ЛЕКАРСТВЕНИЯ ПРОДУКT И ПЪТ(ИЩА) НА ВЪВЕЖДАНЕ,2027.0,True,28
101,2029,CAP,Labelling,bg,2,НАЧИН НА ПРИЛОЖЕНИЕ,2027.0,True,29
102,2030,CAP,Labelling,bg,3,ДАТА НА ИЗТИЧАНЕ НА СРОКА НА ГОДНОСТ,2027.0,True,30
103,2031,CAP,Labelling,bg,4,"ПАРТИДЕН НОМЕР<, КОДОВЕ НА ДАРЕНИЕТО И НА ПРОДУКТА>",2027.0,True,31
104,2032,CAP,Labelling,bg,5,"СЪДЪРЖАНИЕ КАТО МАСА, ОБЕМ ИЛИ ЕДИНИЦИ",2027.0,True,32
105,2033,CAP,Labelling,bg,6,ДРУГО,2027.0,True,33
106,3001,CAP,Package leaflet,bg,, ЛИСТОВКА,,True,1
107,3002,CAP,Package leaflet,bg,,"q Този лекарствен продукт подлежи на допълнително наблюдение. Това ще позволи бързото установяване на нова информация относно безопасността. Можете да дадете своя принос като съобщите всяка нежелана реакция, която сте получили. За начина на съобщаване на нежелани реакции вижте края на точка 4. ",3001.0,False,2
108,3003,CAP,Package leaflet,bg,,Какво съдържа тази листовка,3001.0,True,3
109,3004,CAP,Package leaflet,bg,1,Какво представлява Х и за какво се използва,3001.0,True,4
110,3005,CAP,Package leaflet,bg,2,"Какво трябва да знаете, преди да <приемете> <използвате> Х",3001.0,True,5
111,3006,CAP,Package leaflet,bg,,Не <приемайте> <използвайте> X,3005.0,True,6
112,3007,CAP,Package leaflet,bg,,Предупреждения и предпазни мерки,3005.0,True,7
113,3008,CAP,Package leaflet,bg,,Деца <и юноши>,3005.0,True,8
114,3009,CAP,Package leaflet,bg,,Други лекарства и Х,3005.0,True,9
115,3010,CAP,Package leaflet,bg,,"X с <храна> <и> <,> <напитки> <и> <алкохол>",3005.0,True,10
116,3011,CAP,Package leaflet,bg,,"Бременност <и> <,> кърмене <и фертилитет>",3005.0,True,11
117,3012,CAP,Package leaflet,bg,,Шофиране и работа с машини,3005.0,True,12
118,3013,CAP,Package leaflet,bg,,X съдържа {име на помощното(ите) вещество(а)},3005.0,False,13
119,3014,CAP,Package leaflet,bg,3,Как да <приемате> <използвате> Х,3001.0,True,14
120,3015,CAP,Package leaflet,bg,,Употреба при деца <и юноши>,3014.0,False,15
121,3016,CAP,Package leaflet,bg,,Ако сте <приели> <използвали> повече от необходимата доза X,3014.0,False,16
122,3017,CAP,Package leaflet,bg,,Ако сте пропуснали да <приемете> <използвате> X,3014.0,False,17
123,3018,CAP,Package leaflet,bg,,Ако сте спрели <приема> <употребата> на X,3014.0,False,18
124,3019,CAP,Package leaflet,bg,4,Възможни нежелани реакции,3001.0,True,19
125,3020,CAP,Package leaflet,bg,,Допълнителни нежелани реакции при деца <и юноши,3019.0,False,20
126,3021,CAP,Package leaflet,bg,,Съобщаване на нежелани реакции,3019.0,True,21
127,3022,CAP,Package leaflet,bg,5,Как да съхранявате X,3001.0,True,22
128,3023,CAP,Package leaflet,bg,6,Съдържание на опаковката и допълнителна информация,3001.0,True,23
129,3024,CAP,Package leaflet,bg,,Какво съдържа X,3023.0,True,24
130,3025,CAP,Package leaflet,bg,,Как изглежда X и какво съдържа опаковката ,3023.0,True,25
131,3026,CAP,Package leaflet,bg,,Притежател на разрешението за употреба и производител,3023.0,True,26
132,3027,CAP,Package leaflet,bg,,"За допълнителна информация относно това лекарствo, моля, свържете се с локалния представител на притежателя на разрешението за употреба:",3023.0,False,27
133,3028,CAP,Package leaflet,bg,,Дата на последно преразглеждане на листовката <{ММ /ГГГГ}> <{месец ГГГГ}>.,3023.0,True,28
134,3029,CAP,Package leaflet,bg,,Други източници на информация,3023.0,False,29
135,3030,CAP,Package leaflet,bg,,Посочената по-долу информация е предназначена само за медицински специалисти:,3001.0,False,30
136,4001,CAP,SmPC,cs,,SOUHRN ÚDAJŮ O PŘÍPRAVKU,,True,1
137,4002,CAP,SmPC,cs,,"qTento léčivý přípravek podléhá dalšímu sledování. To umožní rychlé získání nových informací o bezpečnosti. Žádáme zdravotnické pracovníky, aby hlásili jakákoli podezření na nežádoucí účinky. Podrobnosti o hlášení nežádoucích účinků viz bod 4.8.",4001.0,False,2
138,4003,CAP,SmPC,cs,1,NÁZEV PŘÍPRAVKU,4001.0,True,3
139,4004,CAP,SmPC,cs,2,KVALITATIVNÍ A KVANTITATIVNÍ SLOŽENÍ,4001.0,True,4
140,4005,CAP,SmPC,cs,2.1,Obecný popis,4004.0,False,5
141,4006,CAP,SmPC,cs,2.2,Kvalitativní a kvantitativní složení,4004.0,False,6
142,4007,CAP,SmPC,cs,,<Pomocná látka> <Pomocné látky> se známým účinkem,4006.0,False,7
143,4008,CAP,SmPC,cs,3,LÉKOVÁ FORMA,4001.0,True,8
144,4009,CAP,SmPC,cs,4,KLINICKÉ ÚDAJE,4001.0,True,9
145,4010,CAP,SmPC,cs,4.1,Terapeutické indikace,4009.0,True,10
146,4011,CAP,SmPC,cs,4.2,Dávkování a způsob podání,4009.0,True,11
147,4012,CAP,SmPC,cs,,Dávkování,4011.0,True,12
148,4013,CAP,SmPC,cs,,Pediatrická populace,4012.0,True,13
149,4014,CAP,SmPC,cs,,Způsob podání,4011.0,True,14
150,4015,CAP,SmPC,cs,,"Opatření, která je nutno učinit před zacházením s léčivým přípravkem nebo před jeho podáním",4014.0,False,15
151,4016,CAP,SmPC,cs,4.3,Kontraindikace,4009.0,True,16
152,4017,CAP,SmPC,cs,4.4,Zvláštní upozornění a opatření pro použití,4009.0,True,17
153,4018,CAP,SmPC,cs,,Sledovatelnost,4017.0,False,18
154,4019,CAP,SmPC,cs,,Pediatrická populace,4017.0,False,19
155,4020,CAP,SmPC,cs,4.5,Interakce s jinými léčivými přípravky a jiné formy interakce,4009.0,True,20
156,4021,CAP,SmPC,cs,,Pediatrická populace,4020.0,False,21
157,4022,CAP,SmPC,cs,4.6,"Fertilita, těhotenství a kojení",4009.0,True,22
158,4023,CAP,SmPC,cs,,Těhotenství,4022.0,False,23
159,4024,CAP,SmPC,cs,,Kojení,4022.0,False,24
160,4025,CAP,SmPC,cs,,Fertilita,4022.0,False,25
161,4026,CAP,SmPC,cs,4.7,Účinky na schopnost řídit a obsluhovat stroje,4009.0,True,26
162,4027,CAP,SmPC,cs,4.8,Nežádoucí účinky,4009.0,True,27
163,4028,CAP,SmPC,cs,,Pediatrická populace,4027.0,False,28
164,4029,CAP,SmPC,cs,,Hlášení podezření na nežádoucí účinky,4027.0,True,29
165,4030,CAP,SmPC,cs,4.9,Předávkování,4009.0,True,30
166,4031,CAP,SmPC,cs,,Pediatrická populace,4030.0,False,31
167,4032,CAP,SmPC,cs,5,FARMAKOLOGICKÉ VLASTNOSTI,4001.0,True,32
168,4033,CAP,SmPC,cs,5.1,Farmakodynamické vlastnosti,4032.0,True,33
169,4034,CAP,SmPC,cs,,Mechanismus účinku,4033.0,False,34
170,4035,CAP,SmPC,cs,,Farmakodynamické účinky,4033.0,False,35
171,4036,CAP,SmPC,cs,,Klinická účinnost a bezpečnost,4033.0,False,36
172,4037,CAP,SmPC,cs,,Pediatrická populace,4033.0,False,37
173,4038,CAP,SmPC,cs,5.2,Farmakokinetické vlastnosti,4032.0,True,38
174,4039,CAP,SmPC,cs,,Absorpce,4038.0,False,39
175,4040,CAP,SmPC,cs,,Distribuce,4038.0,False,40
176,4041,CAP,SmPC,cs,,Biotransformace,4038.0,False,41
177,4042,CAP,SmPC,cs,,Eliminace,4038.0,False,42
178,4043,CAP,SmPC,cs,,Linearita/nelinearita,4038.0,False,43
179,4044,CAP,SmPC,cs,,Farmakokinetické/farmakodynamické vztahy,4038.0,False,44
180,4045,CAP,SmPC,cs,5.3,Předklinické údaje vztahující se k bezpečnosti,4032.0,True,45
181,4046,CAP,SmPC,cs,,Posouzení rizika pro životní prostředí,4045.0,False,46
182,4047,CAP,SmPC,cs,6,FARMACEUTICKÉ ÚDAJE,4001.0,True,47
183,4048,CAP,SmPC,cs,6.1,Seznam pomocných látek,4047.0,True,48
184,4049,CAP,SmPC,cs,6.2,Inkompatibility,4047.0,True,49
185,4050,CAP,SmPC,cs,6.3,Doba použitelnosti,4047.0,True,50
186,4051,CAP,SmPC,cs,6.4,Zvláštní opatření pro uchovávání,4047.0,True,51
187,4052,CAP,SmPC,cs,6.5,"Druh obalu a obsah balení <a zvláštní vybavení pro použití, podání nebo implantaci>",4047.0,True,52
188,4053,CAP,SmPC,cs,6.6,Zvláštní opatření pro likvidaci přípravku <a pro zacházení s ním>,4047.0,True,53
189,4054,CAP,SmPC,cs,,Použití u pediatrické populace,4053.0,False,54
190,4055,CAP,SmPC,cs,7,DRŽITEL ROZHODNUTÍ O REGISTRACI,4001.0,True,55
191,4056,CAP,SmPC,cs,8,REGISTRAČNÍ ČÍSLO/REGISTRAČNÍ ČÍSLA ,4001.0,True,56
192,4057,CAP,SmPC,cs,9,DATUM PRVNÍ REGISTRACE/PRODLOUŽENÍ REGISTRACE,4001.0,True,57
193,4058,CAP,SmPC,cs,10,DATUM REVIZE TEXTU,4001.0,True,58
194,4059,CAP,SmPC,cs,11,DOZIMETRIE,4001.0,False,59
195,4060,CAP,SmPC,cs,12,NÁVOD PRO PŘÍPRAVU RADIOFARMAK,4001.0,False,60
196,5001,CAP,AnnexII,cs,,PŘÍLOHA II,,True,1
197,5002,CAP,AnnexII,cs,A,<VÝROBCE/VÝROBCI BIOLOGICKÉ LÉČIVÉ LÁTKY/BIOLOGICKÝCH LÉČIVÝCH LÁTEK A> VÝROBCE ODPOVĚDNÝ/VÝROBCI ODPOVĚDNÍ ZA PROPOUŠTĚNÍ ŠARŽÍ,5001.0,True,2
198,5003,CAP,AnnexII,cs,,Název a adresa výrobce/výrobců biologické léčivé látky/biologických léčivých látek,5002.0,False,3
199,5004,CAP,AnnexII,cs,,Název a adresa výrobce odpovědného/výrobců odpovědných za propouštění šarží,5002.0,True,4
200,5005,CAP,AnnexII,cs,B,PODMÍNKY NEBO OMEZENÍ VÝDEJE A POUŽITÍ ,5001.0,True,5
201,5006,CAP,AnnexII,cs,,Úřední propouštění šarží,5005.0,False,6
202,5007,CAP,AnnexII,cs,C,DALŠÍ PODMÍNKY A POŽADAVKY REGISTRACE,5001.0,True,7
203,5008,CAP,AnnexII,cs,,Pravidelně aktualizované zprávy o bezpečnosti (PSUR),5007.0,True,8
204,5009,CAP,AnnexII,cs,D,PODMÍNKY NEBO OMEZENÍ S OHLEDEM NA BEZPEČNÉ A ÚČINNÉ POUŽÍVÁNÍ LÉČIVÉHO PŘÍPRAVKU,5001.0,True,9
205,5010,CAP,AnnexII,cs,,Plán řízení rizik (RMP),5009.0,True,10
206,5011,CAP,AnnexII,cs,,Další opatření k minimalizaci rizik,5009.0,False,11
207,5012,CAP,AnnexII,cs,,Povinnost uskutečnit poregistrační opatření,5009.0,False,12
208,5013,CAP,AnnexII,cs,E,ZVLÁŠTNÍ POVINNOST USKUTEČNIT POREGISTRAČNÍ OPATŘENÍ PRO <PODMÍNĚNOU REGISTRACI PŘÍPRAVKU> <REGISTRACI PŘÍPRAVKU ZA VÝJIMEČNÝCH OKOLNOSTÍ>,5001.0,False,13
209,6001,CAP,Labelling,cs,,OZNAČENÍ NA OBALU,,True,1
210,6002,CAP,Labelling,cs,,ÚDAJE UVÁDĚNÉ NA <VNĚJŠÍM OBALU> <A> <VNITŘNÍM OBALU>,6001.0,True,2
211,6003,CAP,Labelling,cs,1,NÁZEV LÉČIVÉHO PŘÍPRAVKU,6002.0,True,3
212,6004,CAP,Labelling,cs,2,OBSAH LÉČIVÉ LÁTKY/LÉČIVÝCH LÁTEK,6002.0,True,4
213,6005,CAP,Labelling,cs,3,SEZNAM POMOCNÝCH LÁTEK,6002.0,True,5
214,6006,CAP,Labelling,cs,4,LÉKOVÁ FORMA A OBSAH BALENÍ,6002.0,True,6
215,6007,CAP,Labelling,cs,5,ZPŮSOB A CESTA/CESTY PODÁNÍ,6002.0,True,7
216,6008,CAP,Labelling,cs,6,"ZVLÁŠTNÍ UPOZORNĚNÍ, ŽE LÉČIVÝ PŘÍPRAVEK MUSÍ BÝT UCHOVÁVÁN MIMO DOHLED A DOSAH DĚTÍ",6002.0,True,8
217,6009,CAP,Labelling,cs,7,"DALŠÍ ZVLÁŠTNÍ UPOZORNĚNÍ, POKUD JE POTŘEBNÉ",6002.0,True,9
218,6010,CAP,Labelling,cs,8,POUŽITELNOST,6002.0,True,10
219,6011,CAP,Labelling,cs,9,ZVLÁŠTNÍ PODMÍNKY PRO UCHOVÁVÁNÍ,6002.0,True,11
220,6012,CAP,Labelling,cs,10,"ZVLÁŠTNÍ OPATŘENÍ PRO LIKVIDACI NEPOUŽITÝCH LÉČIVÝCH PŘÍPRAVKŮ NEBO ODPADU Z NICH, POKUD JE TO VHODNÉ",6002.0,True,12
221,6013,CAP,Labelling,cs,11,NÁZEV A ADRESA DRŽITELE ROZHODNUTÍ O REGISTRACI,6002.0,True,13
222,6014,CAP,Labelling,cs,12,REGISTRAČNÍ ČÍSLO/ČÍSLA,6002.0,True,14
223,6015,CAP,Labelling,cs,13,"ČÍSLO ŠARŽE <, KÓD DÁRCE A KÓD LÉČIVÉHO PŘÍPRAVKU>",6002.0,True,15
224,6016,CAP,Labelling,cs,14,KLASIFIKACE PRO VÝDEJ,6002.0,True,16
225,6017,CAP,Labelling,cs,15,NÁVOD K POUŽITÍ,6002.0,True,17
226,6018,CAP,Labelling,cs,16,INFORMACE V BRAILLOVĚ PÍSMU,6002.0,True,18
227,6019,CAP,Labelling,cs,17,JEDINEČNÝ IDENTIFIKÁTOR – 2D ČÁROVÝ KÓD,6002.0,True,19
228,6020,CAP,Labelling,cs,18,JEDINEČNÝ IDENTIFIKÁTOR – DATA ČITELNÁ OKEM,6002.0,True,20
229,6021,CAP,Labelling,cs,,MINIMÁLNÍ ÚDAJE UVÁDĚNÉ NA BLISTRECH NEBO STRIPECH,6001.0,True,21
230,6022,CAP,Labelling,cs,1,NÁZEV LÉČIVÉHO PŘÍPRAVKU,6021.0,True,22
231,6023,CAP,Labelling,cs,2,NÁZEV DRŽITELE ROZHODNUTÍ O REGISTRACI,6021.0,True,23
232,6024,CAP,Labelling,cs,3,POUŽITELNOST,6021.0,True,24
233,6025,CAP,Labelling,cs,4,"ČÍSLO ŠARŽE <, KÓD DÁRCE A KÓD LÉČIVÉHO PŘÍPRAVKU>",6021.0,True,25
234,6026,CAP,Labelling,cs,5,JINÉ,6021.0,True,26
235,6027,CAP,Labelling,cs,,MINIMÁLNÍ ÚDAJE UVÁDĚNÉ NA MALÉM VNITŘNÍM OBALU,6001.0,True,27
236,6028,CAP,Labelling,cs,1,NÁZEV LÉČIVÉHO PŘÍPRAVKU A CESTA/CESTY PODÁNÍ,6027.0,True,28
237,6029,CAP,Labelling,cs,2,ZPŮSOB PODÁNÍ,6027.0,True,29
238,6030,CAP,Labelling,cs,3,POUŽITELNOST,6027.0,True,30
239,6031,CAP,Labelling,cs,4,"ČÍSLO ŠARŽE <, KÓD DÁRCE A KÓD LÉČIVÉHO PŘÍPRAVKU",6027.0,True,31
240,6032,CAP,Labelling,cs,5,"OBSAH UDANÝ JAKO HMOTNOST, OBJEM NEBO POČET",6027.0,True,32
241,6033,CAP,Labelling,cs,6,JINÉ,6027.0,True,33
242,7001,CAP,Package leaflet,cs,,PŘÍBALOVÁ INFORMACE,,True,1
