2021-09-19 09:54:07,595 : Flow Logger HTML_O : Starting HTML Conversion To Json | H | NAP |  sv | HTML | Abacavir Accord film-coated tablet SmPC.htm
2021-09-19 09:57:25,049 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176003' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176001'
2021-09-19 09:57:25,058 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176003' | prevHeadingCurrId :- '176001' | prevHeadingFoundId :- '176001'
2021-09-19 09:57:25,786 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- '2. KVALITATIV OCH KVANTITATIV SAMMANSÄTTNING' | Qrd txt :- '2. KVALITATIV OCH KVANTITATIV SAMMANSÄTTNING' | Matched :- 'True'
2021-09-19 09:57:25,803 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176004' | prevHeadingCurrId :- '176003' | prevHeadingFoundId :- '176003'
2021-09-19 09:57:25,810 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176004' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176003'
2021-09-19 09:57:27,592 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- '3. LÄKEMEDELSFORM' | Qrd txt :- '3. LÄKEMEDELSFORM' | Matched :- 'True'
2021-09-19 09:57:27,609 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176006' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176003'
2021-09-19 09:57:27,625 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176006' | prevHeadingCurrId :- '176003' | prevHeadingFoundId :- '176003'
2021-09-19 09:57:27,632 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176006' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176003'
2021-09-19 09:57:30,422 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- '4. KLINISKA UPPGIFTER' | Qrd txt :- '4. KLINISKA UPPGIFTER' | Matched :- 'True'
2021-09-19 09:57:30,440 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176007' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176003'
2021-09-19 09:57:30,452 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176007' | prevHeadingCurrId :- '176003' | prevHeadingFoundId :- '176003'
2021-09-19 09:57:30,468 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176007' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176003'
2021-09-19 09:57:30,870 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- '4.1 Terapeutiska indikationer' | Qrd txt :- '4.1 Terapeutiska indikationer' | Matched :- 'True'
2021-09-19 09:57:30,889 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176008' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176003'
2021-09-19 09:57:30,897 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176008' | prevHeadingCurrId :- '176003' | prevHeadingFoundId :- '176003'
2021-09-19 09:57:35,115 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- '4.2 Dosering och administreringssätt' | Qrd txt :- '4.2 Dosering och administreringssätt' | Matched :- 'True'
2021-09-19 09:57:35,134 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176009' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:57:35,142 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176009' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:57:52,337 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- '4.3 Kontraindikationer' | Qrd txt :- '4.3 Kontraindikationer' | Matched :- 'True'
2021-09-19 09:57:52,360 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176014' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:57:52,370 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176014' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:57:52,385 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176014' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:57:53,846 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- '4.4 Varningar och försiktighet' | Qrd txt :- '4.4 Varningar och försiktighet' | Matched :- 'True'
2021-09-19 09:57:53,862 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176015' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:57:53,873 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176015' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:57:53,884 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176015' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:15,988 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- '4.5 Interaktioner med andra läkemedel och övriga interaktioner' | Qrd txt :- '4.5 Interaktioner med andra läkemedel och övriga interaktioner' | Matched :- 'True'
2021-09-19 09:58:16,013 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176018' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:16,024 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176018' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:16,033 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176018' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:21,901 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- '4.6 Fertilitet, graviditet och amning' | Qrd txt :- '4.6 Fertilitet, graviditet och amning' | Matched :- 'True'
2021-09-19 09:58:21,927 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176020' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:21,937 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176020' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:21,953 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176020' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:22,457 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- 'Graviditet' | Qrd txt :- 'Graviditet' | Matched :- 'True'
2021-09-19 09:58:22,486 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176021' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:22,516 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176021' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:25,151 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- 'Amning' | Qrd txt :- 'Amning' | Matched :- 'True'
2021-09-19 09:58:25,171 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176022' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:25,195 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176022' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:25,324 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- 'Fertilitet' | Qrd txt :- 'Fertilitet' | Matched :- 'True'
2021-09-19 09:58:25,347 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176023' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:25,365 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176023' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:26,711 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- '4.7 Effekter på förmågan att framföra fordon och använda maskiner' | Qrd txt :- '4.7 Effekter på förmågan att framföra fordon och använda maskiner' | Matched :- 'True'
2021-09-19 09:58:26,734 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176024' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:26,750 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176024' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:26,760 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176024' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:27,859 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- '4.8 Biverkningar' | Qrd txt :- '4.8 Biverkningar' | Matched :- 'True'
2021-09-19 09:58:27,880 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176025' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:27,891 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176025' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:27,899 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176025' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:54,749 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- 'Pediatrisk population' | Qrd txt :- 'Pediatrisk population' | Matched :- 'True'
2021-09-19 09:58:54,779 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176011' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:54,800 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176011' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:54,813 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176011' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:54,849 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- 'Pediatrisk population' | Qrd txt :- 'Pediatrisk population' | Matched :- 'True'
2021-09-19 09:58:54,867 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176017' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:54,890 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176017' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:54,900 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176017' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:54,916 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- 'Pediatrisk population' | Qrd txt :- 'Pediatrisk population' | Matched :- 'True'
2021-09-19 09:58:54,933 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176019' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:54,956 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176019' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:54,965 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176019' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:55,018 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- 'Pediatrisk population' | Qrd txt :- 'Pediatrisk population' | Matched :- 'True'
2021-09-19 09:58:55,035 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176026' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:55,055 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176026' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:55,064 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176026' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:55,086 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- 'Pediatrisk population' | Qrd txt :- 'Pediatrisk population' | Matched :- 'True'
2021-09-19 09:58:55,105 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176029' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:55,125 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176029' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:55,134 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176029' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:55,162 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- 'Pediatrisk population' | Qrd txt :- 'Pediatrisk population' | Matched :- 'True'
2021-09-19 09:58:55,184 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176035' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:55,204 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176035' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:55,216 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176035' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:55,364 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed : SpecialCase2|100.0|(65, 95, 86)|0.663| | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- 'Pediatrisk population' | Qrd txt :- 'Användning i den pediatriska populationen' | Matched :- 'True'
2021-09-19 09:58:55,384 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176052' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:55,401 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176052' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:55,414 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176052' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:55,744 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- 'Rapportering av misstänkta biverkningar' | Qrd txt :- 'Rapportering av misstänkta biverkningar' | Matched :- 'True'
2021-09-19 09:58:55,766 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176027' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:55,790 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176027' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:55,800 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Failed By Style | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176027' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:58,868 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- '4.9 Överdosering' | Qrd txt :- '4.9 Överdosering' | Matched :- 'True'
2021-09-19 09:58:58,890 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Flow Is Broken | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176028' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '176008'
2021-09-19 09:58:58,901 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176028' | prevHeadingCurrId :- '176008' | prevHeadingFoundId :- '176008'
