2021-05-04 15:57:33,072 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Starting Heading Extraction | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json
2021-05-04 15:57:33,242 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Started Extracting Heading | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json
2021-05-04 15:57:33,367 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'SUMMARY OF PRODUCT CHARACTERISTICS' | Qrd txt :- 'SUMMARY OF PRODUCT CHARACTERISTICS' | Matched :- 'True'
2021-05-04 15:57:34,850 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20012' | currParentHeadId :- '20011.0' | prevParentHeadId :- '20011'
2021-05-04 15:57:34,922 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'ABASAGLAR contains insulin glargine, an insulin analogue and has a prolonged duration of action. ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:35,276 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Special populations' | Qrd txt :- '6.6 Special precautions for disposal <and other handling>' | Matched :- 'False'
2021-05-04 15:57:35,586 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'In the elderly, progressive deterioration of renal function may lead to a steady decrease in insulin requirements.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:35,852 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'In patients with renal impairment, insulin requirements may be diminished due to reduced insulin metabolism.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:36,175 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'In patients with hepatic impairment, insulin requirements may be diminished due to reduced capacity for gluconeogenesis and reduced insulin metabolism.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:36,215 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Paediatric population' | Qrd txt :- 'Paediatric population' | Matched :- 'True'
2021-05-04 15:57:36,223 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20013' | currParentHeadId :- '20012.0' | prevParentHeadId :- '20011'
2021-05-04 15:57:36,619 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'The safety and efficacy of insulin glargine have not been established No data are available. ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:36,627 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'The safety and efficacy of insulin glargine have not been established No data are available. ' | Qrd txt :- '6.6 Special precautions for disposal <and other handling>' | Matched :- 'False'
2021-05-04 15:57:37,150 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'During the first weeks the reduction should, at least partially, be compensated by an increase in mealtime insulin, after this period the regimen should be adjusted individually. ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:37,222 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Close metabolic monitoring is recommended during the switch and in the initial weeks thereafter. ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:37,371 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Patients with high insulin doses because of antibodies to human insulin may experience an improved insulin response with ABASAGLAR.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:37,411 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed In Lowercase | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Method of administration' | Qrd txt :- '4.2 Posology and method of administration' | Matched :- 'False'
2021-05-04 15:57:37,411 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Method of administration' | Qrd txt :- 'Method of administration ' | Matched :- 'True'
2021-05-04 15:57:37,427 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20014' | currParentHeadId :- '20011.0' | prevParentHeadId :- '20011'
2021-05-04 15:57:37,796 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'There are no clinically relevant differences in serum insulin or glucose levels after abdominal, deltoid or thigh administration of insulin glargine. ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:37,901 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Injection sites should always be rotated within the same region in order to reduce the risk of lipodystrophy and cutaneous amyloidosis (see section 4.4 and 4.8).' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:38,022 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'ABASAGLAR must not be mixed with any other insulin or diluted. Mixing or diluting can change its time/action profile and mixing can cause precipitation. ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:38,224 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '4.3     Contraindications' | Qrd txt :- '4.3 Contraindications' | Matched :- 'True'
2021-05-04 15:57:38,232 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20016' | currParentHeadId :- '20009.0' | prevParentHeadId :- '20011'
2021-05-04 15:57:38,320 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Hypersensitivity to the active substance or to any of the excipients listed in section 6.1.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:38,392 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '4.4     Special warnings and precautions for use' | Qrd txt :- '4.4 Special warnings and precautions for use' | Matched :- 'True'
2021-05-04 15:57:38,400 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20017' | currParentHeadId :- '20009.0' | prevParentHeadId :- '20016'
2021-05-04 15:57:38,448 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Traceability' | Qrd txt :- 'Traceability' | Matched :- 'True'
2021-05-04 15:57:38,456 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20018' | currParentHeadId :- '20017.0' | prevParentHeadId :- '20017'
2021-05-04 15:57:38,545 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'In order to improve the traceability of biological medicinal products, the name and the batch number of the administered product should be clearly recorded.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:38,810 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'ABASAGLAR is not the insulin of choice for the treatment of diabetic ketoacidosis. Instead, regular insulin administered intravenously is recommended in such cases. ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:38,970 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Insulin requirements and dose adjustments' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:39,651 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '-        after transfer from animal insulin to human insulin,' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:39,651 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '-        after transfer from animal insulin to human insulin,' | Qrd txt :- '6.6 Special precautions for disposal <and other handling>' | Matched :- 'False'
2021-05-04 15:57:40,077 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '-        suffering from a psychiatric illness,' | Qrd txt :- '6.6 Special precautions for disposal <and other handling>' | Matched :- 'False'
2021-05-04 15:57:40,214 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '-        receiving concurrent treatment with certain other medicinal products (see section 4.5).' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:40,358 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Such situations may result in severe hypoglycaemia (and possibly loss of consciousness) prior to the patient's awareness of hypoglycaemia.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:40,454 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'The prolonged effect of subcutaneous insulin glargine may delay recovery from hypoglycaemia.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:40,474 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'The prolonged effect of subcutaneous insulin glargine may delay recovery from hypoglycaemia.' | Qrd txt :- '6.6 Special precautions for disposal <and other handling>' | Matched :- 'False'
2021-05-04 15:57:40,577 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'If normal or decreased values for glycated haemoglobin are noted, the possibility of recurrent, unrecognised (especially nocturnal) episodes of hypoglycaemia must be considered. ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:40,979 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '-        unaccustomed, increased or prolonged physical activity,' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:40,987 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '-        unaccustomed, increased or prolonged physical activity,' | Qrd txt :- '6.6 Special precautions for disposal <and other handling>' | Matched :- 'False'
2021-05-04 15:57:41,617 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '-        certain uncompensated endocrine disorders, (e.g. in hypothyroidism and in anterior pituitary or adrenocortical insufficiency),' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:41,713 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '-        concomitant treatment with certain other medicinal products.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:42,773 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'This medicinal product contains less than 1 mmol sodium (23 mg) per dose, i.e., essentially “sodium‑free”.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:42,857 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '4.5     Interaction with other medicinal products and other forms of interaction' | Qrd txt :- '4.5 Interaction with other medicinal products and other forms of interaction' | Matched :- 'True'
2021-05-04 15:57:42,859 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20020' | currParentHeadId :- '20009.0' | prevParentHeadId :- '20017'
2021-05-04 15:57:42,955 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'A number of substances affect glucose metabolism and may require dose adjustment of insulin glargine.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:43,181 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '4.6     Fertility, pregnancy and lactation' | Qrd txt :- '4.6 Fertility, pregnancy and lactation' | Matched :- 'True'
2021-05-04 15:57:43,189 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20022' | currParentHeadId :- '20009.0' | prevParentHeadId :- '20020'
2021-05-04 15:57:43,234 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed In Lowercase | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Pregnancy' | Qrd txt :- '4.6 Fertility, pregnancy and lactation' | Matched :- 'False'
2021-05-04 15:57:43,234 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Pregnancy' | Qrd txt :- 'Pregnancy' | Matched :- 'True'
2021-05-04 15:57:43,242 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20023' | currParentHeadId :- '20022.0' | prevParentHeadId :- '20022'
2021-05-04 15:57:43,357 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Animal data do not indicate reproductive toxicity. ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:43,484 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'The use of ABASAGLAR may be considered during pregnancy, if clinically needed. ' | Qrd txt :- '6.6 Special precautions for disposal <and other handling>' | Matched :- 'False'
2021-05-04 15:57:43,553 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Breast-feeding' | Qrd txt :- 'Breast-feeding' | Matched :- 'True'
2021-05-04 15:57:43,561 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20024' | currParentHeadId :- '20022.0' | prevParentHeadId :- '20022'
2021-05-04 15:57:43,681 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Breast-feeding women may require adjustments in insulin dose and diet. ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:43,745 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed In Lowercase | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Fertility' | Qrd txt :- '4.6 Fertility, pregnancy and lactation' | Matched :- 'False'
2021-05-04 15:57:43,753 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Fertility' | Qrd txt :- 'Fertility' | Matched :- 'True'
2021-05-04 15:57:43,769 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20025' | currParentHeadId :- '20022.0' | prevParentHeadId :- '20022'
2021-05-04 15:57:43,889 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Animal studies do not indicate direct harmful effects with respect to fertility.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:43,985 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '4.7     Effects on ability to drive and use machines' | Qrd txt :- '4.7 Effects on ability to drive and use machines' | Matched :- 'True'
2021-05-04 15:57:43,993 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20026' | currParentHeadId :- '20009.0' | prevParentHeadId :- '20022'
2021-05-04 15:57:44,054 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '4.8     Undesirable effects' | Qrd txt :- '4.8 Undesirable effects' | Matched :- 'True'
2021-05-04 15:57:44,062 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20027' | currParentHeadId :- '20009.0' | prevParentHeadId :- '20026'
2021-05-04 15:57:44,304 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Hypoglycaemia (very common), in general the most frequent adverse reaction of insulin therapy, may occur if the insulin dose is too high in relation to the insulin requirement (see section 4.4).' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:44,480 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Tabulated list of adverse reactions' | Qrd txt :- '6.6 Special precautions for disposal <and other handling>' | Matched :- 'False'
2021-05-04 15:57:44,585 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Within each frequency grouping, adverse reactions are presented in order of decreasing seriousness.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:44,799 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Description of selected adverse reactions' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
