2021-05-04 02:36:46,283 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Starting Heading Extraction | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json
2021-05-04 02:44:00,078 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Starting Heading Extraction | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json
2021-05-04 02:44:00,437 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Started Extracting Heading | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json
2021-05-04 02:44:00,679 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'SUMMARY OF PRODUCT CHARACTERISTICS' | Qrd txt :- 'SUMMARY OF PRODUCT CHARACTERISTICS' | Matched :- 'True'
2021-05-04 02:44:02,015 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Each film‑coated tablet contains 167.2 mg of lactose monohydrate.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:02,427 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- '3.       PHARMACEUTICAL FORM' | Qrd txt :- '3. PHARMACEUTICAL FORM' | Matched :- 'True'
2021-05-04 02:44:02,438 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Flow Is Broken | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20008' | currParentHeadId :- '20001.0' | prevParentHeadId :- '20004'
2021-05-04 02:44:02,445 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20008' | currParentHeadId :- '20001.0' | prevParentHeadId :- '20004'
2021-05-04 02:44:03,029 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Light blue, capsule‑shaped film‑coated tablets, printed with “V 150” in black ink on one side and plain on the other (16.5 mm x 8.4 mm in modified tablet shape).' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:03,105 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- '4.       CLINICAL PARTICULARS' | Qrd txt :- '4. CLINICAL PARTICULARS' | Matched :- 'True'
2021-05-04 02:44:03,113 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20009' | currParentHeadId :- '20001.0' | prevParentHeadId :- '20008'
2021-05-04 02:44:03,200 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- '4.1     Therapeutic indications' | Qrd txt :- '4.1 Therapeutic indications' | Matched :- 'True'
2021-05-04 02:44:03,208 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20010' | currParentHeadId :- '20009.0' | prevParentHeadId :- '20009'
2021-05-04 02:44:03,666 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- '4.2     Posology and method of administration' | Qrd txt :- '4.2 Posology and method of administration' | Matched :- 'True'
2021-05-04 02:44:03,676 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20011' | currParentHeadId :- '20009.0' | prevParentHeadId :- '20010'
2021-05-04 02:44:03,728 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed In Lowercase | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Posology' | Qrd txt :- '4.2 Posology and method of administration' | Matched :- 'False'
2021-05-04 02:44:03,730 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Posology' | Qrd txt :- 'Posology' | Matched :- 'True'
2021-05-04 02:44:03,750 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20012' | currParentHeadId :- '20011.0' | prevParentHeadId :- '20011'
2021-05-04 02:44:04,684 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'The morning and evening dose should be taken approximately 12 hours apart with fat-containing food (see Method of administration).' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:05,142 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Patients receiving ivacaftor in a combination regimen should not take more than one dose of either medicine at the same time.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:06,141 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Table 2: Dosing recommendations for concomitant use with moderate or strong CYP3A inhibitors' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:06,662 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Special populations' | Qrd txt :- '6.6 Special precautions for disposal <and other handling>' | Matched :- 'False'
2021-05-04 02:44:08,501 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'No dose adjustment is necessary for ivacaftor as monotherapy or in a combination regimen in patients with mild hepatic impairment (Child‑Pugh Class A). ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:08,836 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'For patients with moderate hepatic impairment (Child‑Pugh Class B) the dose of ivacaftor as monotherapy should be reduced to 150 mg once daily. ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:09,091 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'For patients with severe hepatic impairment (Child-Pugh Class C), the dose of ivacaftor as monotherapy should be reduced to 150 mg every other day or less frequently. ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:09,386 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'For use as an evening dose in a combination regimen with tezacaftor/ivacaftor or ivacaftor/tezacaftor/elexacaftor see Table 3 for dosing regimen recommendations. ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:09,740 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Table 3: Recommendations for patients with moderate or severe hepatic impairment ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:09,764 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Table 3: Recommendations for patients with moderate or severe hepatic impairment ' | Qrd txt :- '6.6 Special precautions for disposal <and other handling>' | Matched :- 'False'
2021-05-04 02:44:10,470 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Paediatric population' | Qrd txt :- 'Paediatric population' | Matched :- 'True'
2021-05-04 02:44:10,491 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20013' | currParentHeadId :- '20012.0' | prevParentHeadId :- '20011'
2021-05-04 02:44:10,829 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'The safety and efficacy of ivacaftor monotherapy in children aged less than 4 months have not been established. No data are available.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:11,135 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'An appropriate dose for children under 6 years of age and weighing less than 25 kg cannot be achieved with ivacaftor tablets.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:11,570 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed In Lowercase | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Method of administration' | Qrd txt :- '4.2 Posology and method of administration' | Matched :- 'False'
2021-05-04 02:44:11,580 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Method of administration' | Qrd txt :- 'Method of administration ' | Matched :- 'True'
2021-05-04 02:44:11,604 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20014' | currParentHeadId :- '20011.0' | prevParentHeadId :- '20011'
2021-05-04 02:44:12,695 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Food or drink containing grapefruit should be avoided during treatment (see section 4.5).' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:12,857 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- '4.3       Contraindications' | Qrd txt :- '4.3 Contraindications' | Matched :- 'True'
2021-05-04 02:44:12,871 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20016' | currParentHeadId :- '20009.0' | prevParentHeadId :- '20011'
2021-05-04 02:44:13,068 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Hypersensitivity to the active substance or to any of the excipients listed in section 6.1.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:13,273 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- '4.4       Special warnings and precautions for use' | Qrd txt :- '4.4 Special warnings and precautions for use' | Matched :- 'True'
2021-05-04 02:44:13,288 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20017' | currParentHeadId :- '20009.0' | prevParentHeadId :- '20016'
2021-05-04 02:44:13,751 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Less evidence of a positive effect of ivacaftor has been shown for patients with an R117H‑7T mutation associated with less severe disease in study 6 (see section 5.1). ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:16,232 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Interactions with medicinal products' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:16,245 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Interactions with medicinal products' | Qrd txt :- '6.6 Special precautions for disposal <and other handling>' | Matched :- 'False'
2021-05-04 02:44:17,019 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Paediatric population' | Qrd txt :- 'Paediatric population' | Matched :- 'True'
2021-05-04 02:44:17,030 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Failed As Previous Heading Found is not matching | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20013' | currParentHeadId :- '20012.0' | prevParentHeadId :- '20017'
2021-05-04 02:44:17,067 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Paediatric population' | Qrd txt :- 'Paediatric population' | Matched :- 'True'
2021-05-04 02:44:17,086 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20019' | currParentHeadId :- '20017.0' | prevParentHeadId :- '20017'
2021-05-04 02:44:17,682 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Kalydeco contains lactose. Patients with rare hereditary problems of galactose intolerance, total lactase deficiency or glucose‑galactose malabsorption should not take this medicine.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:18,378 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- '4.5          Interaction with other medicinal products and other forms of interaction' | Qrd txt :- '4.5 Interaction with other medicinal products and other forms of interaction' | Matched :- 'True'
2021-05-04 02:44:18,394 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20020' | currParentHeadId :- '20009.0' | prevParentHeadId :- '20017'
2021-05-04 02:44:18,906 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Medicinal products affecting the pharmacokinetics of ivacaftor, tezacaftor and/or elexacaftor' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:18,943 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Medicinal products affecting the pharmacokinetics of ivacaftor, tezacaftor and/or elexacaftor' | Qrd txt :- '6.6 Special precautions for disposal <and other handling>' | Matched :- 'False'
2021-05-04 02:44:20,123 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Potential for ivacaftor to interact with transporters' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:20,816 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Medicinal products affected by ivacaftor, tezacaftor and/or elexacaftor' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:22,795 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Paediatric population' | Qrd txt :- 'Paediatric population' | Matched :- 'True'
2021-05-04 02:44:22,809 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Failed As Previous Heading Found is not matching | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20013' | currParentHeadId :- '20012.0' | prevParentHeadId :- '20020'
2021-05-04 02:44:22,853 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Paediatric population' | Qrd txt :- 'Paediatric population' | Matched :- 'True'
2021-05-04 02:44:22,867 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Failed As Previous Heading Found is not matching | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20019' | currParentHeadId :- '20017.0' | prevParentHeadId :- '20020'
2021-05-04 02:44:22,880 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Paediatric population' | Qrd txt :- 'Paediatric population' | Matched :- 'True'
2021-05-04 02:44:22,902 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20021' | currParentHeadId :- '20020.0' | prevParentHeadId :- '20020'
2021-05-04 02:44:23,212 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Interaction studies have only been performed in adults.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 02:44:23,592 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- '4.6    Fertility, pregnancy and lactation' | Qrd txt :- '4.6 Fertility, pregnancy and lactation' | Matched :- 'True'
2021-05-04 02:44:23,623 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20022' | currParentHeadId :- '20009.0' | prevParentHeadId :- '20020'
2021-05-04 02:44:23,858 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed In Lowercase | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Pregnancy' | Qrd txt :- '4.6 Fertility, pregnancy and lactation' | Matched :- 'False'
2021-05-04 02:44:23,862 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Pregnancy' | Qrd txt :- 'Pregnancy' | Matched :- 'True'
2021-05-04 02:44:23,909 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20023' | currParentHeadId :- '20022.0' | prevParentHeadId :- '20022'
2021-05-04 02:44:24,165 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Breast‑feeding' | Qrd txt :- 'Breast-feeding' | Matched :- 'True'
2021-05-04 02:44:24,191 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20024' | currParentHeadId :- '20022.0' | prevParentHeadId :- '20022'
2021-05-04 02:44:43,843 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Starting Heading Extraction | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json
2021-05-04 02:44:43,843 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Starting Heading Extraction | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json
2021-05-04 02:44:44,230 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Started Extracting Heading | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json
2021-05-04 02:44:44,230 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Started Extracting Heading | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json
2021-05-04 02:47:20,635 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Starting Heading Extraction | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json
2021-05-04 02:47:21,014 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Started Extracting Heading | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json
2021-05-04 02:47:21,287 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'SUMMARY OF PRODUCT CHARACTERISTICS' | Qrd txt :- 'SUMMARY OF PRODUCT CHARACTERISTICS' | Matched :- 'True'
2021-05-04 02:47:21,293 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed As This The First Heading | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20001' | currParentHeadId :- 'nan' | prevParentHeadId :- ''
2021-05-04 02:47:21,335 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '1.       NAME OF THE MEDICINAL PRODUCT' | Qrd txt :- '1. NAME OF THE MEDICINAL PRODUCT' | Matched :- 'True'
2021-05-04 02:47:21,346 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Flow Is Broken | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20003' | currParentHeadId :- '20001.0' | prevParentHeadId :- '20001'
2021-05-04 02:47:21,351 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20003' | currParentHeadId :- '20001.0' | prevParentHeadId :- '20001'
2021-05-04 02:47:21,817 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '2.       QUALITATIVE AND QUANTITATIVE COMPOSITION' | Qrd txt :- '2. QUALITATIVE AND QUANTITATIVE COMPOSITION' | Matched :- 'True'
2021-05-04 02:47:21,828 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20004' | currParentHeadId :- '20001.0' | prevParentHeadId :- '20003'
2021-05-04 02:47:22,526 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Each cartridge contains 3 mL of solution for injection, equivalent to 300 units. ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
