,id,domain,Procedure type,Document type,Language code,Display code,Name,parent_id,Mandatory,heading_id
39,40,V,CAP,SmPC,en,10,DATE OF REVISION OF THE TEXT,1.0,True,40
40,41,V,CAP,SmPC,en,,"PROHIBITION OF SALE, SUPPLY AND/OR USE",1.0,True,41
41,1001,V,CAP,Annex II,en,,ANNEX II,,True,1
42,1002,V,CAP,Annex II,en,A,<MANUFACTURER(S) OF THE BIOLOGICAL ACTIVE SUBSTANCE(S) AND> MANUFACTURER(S) RESPONSIBLE FOR BATCH RELEASE,1001.0,True,2
43,1003,V,CAP,Annex II,en,,Name and address of the manufacturer(s) of the biological active substance(s),1002.0,False,3
44,1004,V,CAP,Annex II,en,,Name and address of the manufacturer(s) responsible for batch release,1002.0,True,4
45,1005,V,CAP,Annex II,en,B,CONDITIONS OR RESTRICTIONS REGARDING SUPPLY AND USE,1001.0,True,5
46,1006,V,CAP,Annex II,en,C,STATEMENT OF THE MRLs,1001.0,True,6
47,1007,V,CAP,Annex II,en,D,OTHER CONDITIONS AND REQUIREMENTS OF THE MARKETING AUTHORISATION,1001.0,False,7
48,1008,V,CAP,Annex II,en,,CONDITIONS OR RESTRICTIONS WITH REGARD TO THE SAFE AND EFFECTIVE USE OF THE MEDICINAL PRODUCT,1007.0,False,8
49,1009,V,CAP,Annex II,en,,SPECIFIC OBLIGATION TO COMPLETE POST-AUTHORISATION MEASURES FOR THE MARKETING AUTHORISATION UNDER EXCEPTIONAL CIRCUMSTANCES,1007.0,False,9
50,1010,V,CAP,Annex II,en,,OBLIGATION TO CONDUCT POST-AUTHORISATION MEASURES,1007.0,False,10
51,2001,V,CAP,Labelling,en,A,LABELLING ,,True,1
52,2002,V,CAP,Labelling,en,,PARTICULARS TO APPEAR ON <THE OUTER PACKAGING> <AND> <THE IMMEDIATE PACKAGING>,2001.0,True,2
53,2003,V,CAP,Labelling,en,1,NAME OF THE VETERINARY MEDICINAL PRODUCT,2002.0,True,3
54,2004,V,CAP,Labelling,en,2,STATEMENT OF ACTIVE SUBSTANCE(S),2002.0,True,4
55,2005,V,CAP,Labelling,en,3,PHARMACEUTICAL FORM,2002.0,True,5
56,2006,V,CAP,Labelling,en,4,PACKAGE SIZE,2002.0,True,6
57,2007,V,CAP,Labelling,en,5,TARGET SPECIES,2002.0,True,7
58,2008,V,CAP,Labelling,en,6,INDICATION(S),2002.0,True,8
59,2009,V,CAP,Labelling,en,7,METHOD AND ROUTE(S) OF ADMINISTRATION,2002.0,True,9
60,2010,V,CAP,Labelling,en,8,WITHDRAWAL PERIOD(S),2002.0,True,10
61,2011,V,CAP,Labelling,en,9,"SPECIAL WARNING(S), IF NECESSARY",2002.0,True,11
62,2012,V,CAP,Labelling,en,10,EXPIRY DATE,2002.0,True,12
63,2013,V,CAP,Labelling,en,11,SPECIAL STORAGE CONDITIONS,2002.0,True,13
64,2014,V,CAP,Labelling,en,12,"SPECIAL PRECAUTIONS FOR THE DISPOSAL OF UNUSED PRODUCTS OR WASTE MATERIALS, IF ANY",2002.0,True,14
65,2015,V,CAP,Labelling,en,13,"THE WORDS “FOR ANIMAL TREATMENT ONLY” AND CONDITIONS OR RESTRICTIONS REGARDING SUPPLY AND USE, IF APPLICABLE",2002.0,True,15
66,2016,V,CAP,Labelling,en,14,THE WORDS “KEEP OUT OF THE SIGHT AND REACH OF CHILDREN”,2002.0,True,16
67,2017,V,CAP,Labelling,en,15,NAME AND ADDRESS OF THE MARKETING AUTHORISATION HOLDER,2002.0,True,17
68,2018,V,CAP,Labelling,en,16,MARKETING AUTHORISATION NUMBER(S),2002.0,True,18
69,2019,V,CAP,Labelling,en,17,MANUFACTURER’S BATCH NUMBER,2002.0,True,19
70,2020,V,CAP,Labelling,en,,MINIMUM PARTICULARS TO APPEAR ON SMALL IMMEDIATE PACKAGING UNITS,2001.0,True,20
71,2021,V,CAP,Labelling,en,1,NAME OF THE VETERINARY MEDICINAL PRODUCT,2020.0,True,21
72,2022,V,CAP,Labelling,en,2,QUANTITY OF THE ACTIVE SUBSTANCE(S),2020.0,True,22
73,2023,V,CAP,Labelling,en,3,"CONTENTS BY WEIGHT, BY VOLUME OR BY NUMBER OF DOSES",2020.0,True,23
74,2024,V,CAP,Labelling,en,4,ROUTE(S) OF ADMINISTRATION,2020.0,True,24
75,2025,V,CAP,Labelling,en,5,WITHDRAWAL PERIOD(S),2020.0,True,25
76,2026,V,CAP,Labelling,en,6,BATCH NUMBER,2020.0,True,26
77,2027,V,CAP,Labelling,en,7,EXPIRY DATE,2020.0,True,27
78,2028,V,CAP,Labelling,en,8,THE WORDS “FOR ANIMAL TREATMENT ONLY”,2020.0,True,28
79,2029,V,CAP,Labelling,en,,MINIMUM PARTICULARS TO APPEAR ON BLISTERS OR STRIPS,2001.0,True,29
80,2030,V,CAP,Labelling,en,1,NAME OF THE VETERINARY MEDICINAL PRODUCT,2029.0,True,30
81,2031,V,CAP,Labelling,en,2,NAME OF THE MARKETING AUTHORISATION HOLDER,2029.0,True,31
82,2032,V,CAP,Labelling,en,3,EXPIRY DATE,2029.0,True,32
83,2033,V,CAP,Labelling,en,4,BATCH NUMBER,2029.0,True,33
84,2034,V,CAP,Labelling,en,5,THE WORDS “FOR ANIMAL TREATMENT ONLY”,2029.0,True,34
85,3001,V,CAP,Package leaflet,en,B,PACKAGE LEAFLET:,,True,1
86,3002,V,CAP,Package leaflet,en,1,"NAME AND ADDRESS OF THE MARKETING AUTHORISATION HOLDER AND OF THE MANUFACTURING AUTHORISATION HOLDER RESPONSIBLE FOR BATCH RELEASE, IF DIFFERENT",3001.0,True,2
87,3003,V,CAP,Package leaflet,en,,Marketing authorisation holder <and manufacturer responsible for batch release>,3002.0,True,3
88,3004,V,CAP,Package leaflet,en,,Manufacturer responsible for batch release,3002.0,False,4
89,3005,V,CAP,Package leaflet,en,2,NAME OF THE VETERINARY MEDICINAL PRODUCT,3001.0,True,5
90,3006,V,CAP,Package leaflet,en,3,STATEMENT OF THE ACTIVE SUBSTANCE(S) AND OTHER INGREDIENT(S),3001.0,True,6
91,3007,V,CAP,Package leaflet,en,4,INDICATION(S),3001.0,True,7
92,3008,V,CAP,Package leaflet,en,5,CONTRAINDICATIONS,3001.0,True,8
93,3009,V,CAP,Package leaflet,en,6,ADVERSE REACTIONS,3001.0,True,9
94,3010,V,CAP,Package leaflet,en,7,TARGET SPECIES,3001.0,True,10
95,3011,V,CAP,Package leaflet,en,8,"DOSAGE FOR EACH SPECIES, ROUTE(S) AND METHOD OF ADMINISTRATION",3001.0,True,11
96,3012,V,CAP,Package leaflet,en,9,ADVICE ON CORRECT ADMINISTRATION,3001.0,True,12
97,3013,V,CAP,Package leaflet,en,10,WITHDRAWAL PERIOD(S),3001.0,True,13
98,3014,V,CAP,Package leaflet,en,11,SPECIAL STORAGE PRECAUTIONS,3001.0,True,14
99,3015,V,CAP,Package leaflet,en,12,SPECIAL WARNING(S),3001.0,True,15
100,3016,V,CAP,Package leaflet,en,,Special warnings for each target species,3015.0,False,16
101,3017,V,CAP,Package leaflet,en,,Special precautions for use in animals,3015.0,False,17
102,3018,V,CAP,Package leaflet,en,,Special precautions to be taken by the person administering the veterinary medicinal product to animals,3015.0,False,18
103,3019,V,CAP,Package leaflet,en,,Pregnancy,3015.0,False,19
104,3020,V,CAP,Package leaflet,en,,Lactation,3015.0,False,20
105,3021,V,CAP,Package leaflet,en,,Lay,3015.0,False,21
106,3022,V,CAP,Package leaflet,en,,Fertility,3015.0,False,22
107,3023,V,CAP,Package leaflet,en,,Interaction with other medicinal products and other forms of interaction,3015.0,False,23
108,3024,V,CAP,Package leaflet,en,,"Overdose (symptoms, emergency procedures, antidotes)",3015.0,False,24
109,3025,V,CAP,Package leaflet,en,,Incompatibilities,3015.0,False,25
110,3026,V,CAP,Package leaflet,en,13,"SPECIAL PRECAUTIONS FOR THE DISPOSAL OF UNUSED PRODUCT OR WASTE MATERIALS, IF ANY",3001.0,True,26
111,3027,V,CAP,Package leaflet,en,14,DATE ON WHICH THE PACKAGE LEAFLET WAS LAST APPROVED,3001.0,True,27
112,3028,V,CAP,Package leaflet,en,15,OTHER INFORMATION,3001.0,True,28
113,3029,V,CAP,Package leaflet,en,,"For any information about this veterinary medicinal product, please contact the local representative of the marketing authorisation holder",3028.0,False,29
114,4001,H,CAP,SmPC,bg,,КРАТКА ХАРАКТЕРИСТИКА НА ПРОДУКТА,,True,1
115,4002,H,CAP,SmPC,bg,,qТози лекарствен продукт подлежи на допълнително наблюдение. Това ще позволи бързото установяване на нова информация относно безопасността. От медицинските специалисти се изисква да съобщават всяка подозирана нежелана реакция. За начина на съобщаване на нежелани реакции вижте точка 4.8,4001.0,False,2
116,4003,H,CAP,SmPC,bg,1,ИМЕ НА ЛЕКАРСТВЕНИЯ ПРОДУКТ,4001.0,True,3
117,4004,H,CAP,SmPC,bg,2,КАЧЕСТВЕН И КОЛИЧЕСТВЕН СЪСТАВ,4001.0,True,4
118,4005,H,CAP,SmPC,bg,2.1,Общо описание,4004.0,False,5
119,4006,H,CAP,SmPC,bg,2.2,Качествен и количествен състав,4004.0,False,6
120,4007,H,CAP,SmPC,bg,,Помощно(и) вещество(а) с известно действие,4006.0,False,7
121,4008,H,CAP,SmPC,bg,3,ЛЕКАРСТВЕНА ФОРМА,4001.0,True,8
122,4009,H,CAP,SmPC,bg,4,КЛИНИЧНИ ДАННИ,4001.0,True,9
123,4010,H,CAP,SmPC,bg,4.1,Терапевтични показания ,4009.0,True,10
124,4011,H,CAP,SmPC,bg,4.2,Дозировка и начин на приложение,4009.0,True,11
125,4012,H,CAP,SmPC,bg,,Дозировка,4011.0,True,12
126,4013,H,CAP,SmPC,bg,,Педиатрична популация,4012.0,True,13
127,4014,H,CAP,SmPC,bg,,Начин на приложение,4011.0,True,14
128,4015,H,CAP,SmPC,bg,,"Предпазни мерки, които трябва да бъдат взети преди работа със или приложение на лекарствения продукт",4014.0,False,15
129,4016,H,CAP,SmPC,bg,4.3,Противопоказания,4009.0,True,16
130,4017,H,CAP,SmPC,bg,4.4,Специални предупреждения и предпазни мерки при употреба,4009.0,True,17
131,4018,H,CAP,SmPC,bg,,Проследимост,4017.0,False,18
132,4019,H,CAP,SmPC,bg,,Педиатрична популация,4017.0,False,19
133,4020,H,CAP,SmPC,bg,4.5,Взаимодействие с други лекарствени продукти и други форми на взаимодействие,4009.0,True,20
134,4021,H,CAP,SmPC,bg,,Педиатрична популация,4020.0,False,21
135,4022,H,CAP,SmPC,bg,4.6,"Фертилитет, бременност и кърмене",4009.0,True,22
136,4023,H,CAP,SmPC,bg,,Бременност,4022.0,False,23
137,4024,H,CAP,SmPC,bg,,Кърмене,4022.0,False,24
138,4025,H,CAP,SmPC,bg,,Фертилитет,4022.0,False,25
139,4026,H,CAP,SmPC,bg,4.7,Ефекти върху способността за шофиране и работа с машини,4009.0,True,26
140,4027,H,CAP,SmPC,bg,4.8,Нежелани лекарствени реакции,4009.0,True,27
141,4028,H,CAP,SmPC,bg,,Педиатрична популация,4027.0,False,28
142,4029,H,CAP,SmPC,bg,,Съобщаване на подозирани нежелани реакции,4027.0,True,29
143,4030,H,CAP,SmPC,bg,4.9,Предозиране,4009.0,True,30
144,4031,H,CAP,SmPC,bg,,Педиатрична популация,4030.0,False,31
145,4032,H,CAP,SmPC,bg,5,ФАРМАКОЛОГИЧНИ СВОЙСТВА,4001.0,True,32
146,4033,H,CAP,SmPC,bg,5.1,Фармакодинамични свойства,4032.0,True,33
147,4034,H,CAP,SmPC,bg,,Механизъм на действие,4033.0,False,34
148,4035,H,CAP,SmPC,bg,,Фармакодинамични ефекти,4033.0,False,35
149,4036,H,CAP,SmPC,bg,,Клинична ефикасност и безопасност,4033.0,False,36
150,4037,H,CAP,SmPC,bg,,Педиатрична популация,4033.0,False,37
151,4038,H,CAP,SmPC,bg,5.2,Фармакокинетични свойства,4032.0,True,38
152,4039,H,CAP,SmPC,bg,,Абсорбция,4038.0,False,39
153,4040,H,CAP,SmPC,bg,,Разпределение,4038.0,False,40
154,4041,H,CAP,SmPC,bg,,Биотрансформация,4038.0,False,41
155,4042,H,CAP,SmPC,bg,,Елиминиране,4038.0,False,42
156,4043,H,CAP,SmPC,bg,,Линейност/нелинейност,4038.0,False,43
157,4044,H,CAP,SmPC,bg,,Връзка(и) фармакокинетика-фармакодинамика,4038.0,False,44
158,4045,H,CAP,SmPC,bg,5.3,Предклинични данни за безопасност,4032.0,True,45
159,4046,H,CAP,SmPC,bg,,Оценка на риска за околната среда (ERA),4045.0,False,46
160,4047,H,CAP,SmPC,bg,6,ФАРМАЦЕВТИЧНИ ДАННИ,4001.0,True,47
161,4048,H,CAP,SmPC,bg,6.1,Списък на помощните вещества,4047.0,True,48
162,4049,H,CAP,SmPC,bg,6.2,Несъвместимости,4047.0,True,49
163,4050,H,CAP,SmPC,bg,6.3,Срок на годност,4047.0,True,50
164,4051,H,CAP,SmPC,bg,6.4,Специални условия на съхранение,4047.0,True,51
165,4052,H,CAP,SmPC,bg,6.5,"Вид и съдържание на опаковката <и специални приспособления за употреба, приложение или имплантиране>",4047.0,True,52
166,4053,H,CAP,SmPC,bg,6.6,Специални предпазни мерки при изхвърляне <и работа>,4047.0,True,53
167,4054,H,CAP,SmPC,bg,,Употреба при педиатричната популация,4053.0,False,54
168,4055,H,CAP,SmPC,bg,7,ПРИТЕЖАТЕЛ НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,4001.0,True,55
169,4056,H,CAP,SmPC,bg,8,НОМЕР(А) НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,4001.0,True,56
170,4057,H,CAP,SmPC,bg,9,ДАТА НА ПЪРВО РАЗРЕШАВАНЕ/ПОДНОВЯВАНЕ НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,4001.0,True,57
171,4058,H,CAP,SmPC,bg,10,ДАТА НА АКТУАЛИЗИРАНЕ НА ТЕКСТА,4001.0,True,58
172,4059,H,CAP,SmPC,bg,11,ДОЗИМЕТРИЯ,4001.0,False,59
173,4060,H,CAP,SmPC,bg,12,ИНСТРУКЦИИ ЗА ПРИГОТВЯНЕ НА РАДИОФАРМАЦЕВТИЦИ ,4001.0,False,60
174,5001,H,CAP,Annex II,bg,,ПРИЛОЖЕНИЕ II,,True,1
175,5002,H,CAP,Annex II,bg,A.,"<ПРОИЗВОДИТЕЛ(И) НА БИОЛОГИЧНО АКТИВНОТО(ИТЕ) ВЕЩЕСТВО(А) И>ПРОИЗВОДИТЕЛ(И), ОТГОВОРЕН(НИ) ЗА ОСВОБОЖДАВАНЕ НА ПАРТИДИ ",5001.0,True,2
176,5003,H,CAP,Annex II,bg,,Име и адрес на производителя(ите) на биологично активното(ите) вещество(а),5002.0,False,3
177,5004,H,CAP,Annex II,bg,,"Име и адрес на производителя(ите), отговорен(ни) за освобождаване на партидите",5002.0,True,4
178,5005,H,CAP,Annex II,bg,Б.,УСЛОВИЯ ИЛИ ОГРАНИЧЕНИЯ ЗА ДОСТАВКА И УПОТРЕБА,5001.0,True,5
179,5006,H,CAP,Annex II,bg,,Официално освобождаване на партиди,5005.0,False,6
180,5007,H,CAP,Annex II,bg,В.,ДРУГИ УСЛОВИЯ И ИЗИСКВАНИЯ НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,5001.0,True,7
181,5008,H,CAP,Annex II,bg,,Периодични актуализирани доклади за безопасност (ПАДБ),5007.0,True,8
182,5009,H,CAP,Annex II,bg,Г.,УСЛОВИЯ ИЛИ ОГРАНИЧЕНИЯ ЗА БЕЗОПАСНА И ЕФЕКТИВНА УПОТРЕБА НА ЛЕКАРСТВЕНИЯ ПРОДУКТ,5001.0,True,9
183,5010,H,CAP,Annex II,bg,,План за управление на риска (ПУР),5009.0,True,10
184,5011,H,CAP,Annex II,bg,,Допълнителни мерки за свеждане на риска до минимум,5009.0,False,11
185,5012,H,CAP,Annex II,bg,,Задължение за провеждане на мерки след разрешаване за употреба,5009.0,False,12
186,5013,H,CAP,Annex II,bg,Д.,КОНКРЕТНО ЗАДЪЛЖЕНИЕ ЗА ИЗПЪЛНЕНИЕ НА МЕРКИ СЛЕД <РАЗРЕШАВАНЕ ЗА УПОТРЕБА ПОД УСЛОВИЕ> <РАЗРЕШАВАНЕ ЗА УПОТРЕБА ПРИ ИЗВЪНРЕДНИ ОБСТОЯТЕЛСТВА>,5001.0,False,13
187,6001,H,CAP,Labelling,bg,A,ДАННИ ВЪРХУ ОПАКОВКАТА,,True,1
188,6002,H,CAP,Labelling,bg,,"ДАННИ, КОИТО ТРЯБВА ДА СЪДЪРЖА <ВТОРИЧНАТА ОПАКОВКА> <И> <ПЪРВИЧНАТА ОПАКОВКА>",6001.0,True,2
189,6003,H,CAP,Labelling,bg,1,ИМЕ НА ЛЕКАРСТВЕНИЯ ПРОДУКТ,6002.0,True,3
190,6004,H,CAP,Labelling,bg,2,ОБЯВЯВАНЕ НА АКТИВНОТО(ИТЕ) ВЕЩЕСТВО(А),6002.0,True,4
191,6005,H,CAP,Labelling,bg,3,СПИСЪК НА ПОМОЩНИТЕ ВЕЩЕСТВА,6002.0,True,5
192,6006,H,CAP,Labelling,bg,4,ЛЕКАРСТВЕНА ФОРМА И КОЛИЧЕСТВО В ЕДНА ОПАКОВКА,6002.0,True,6
193,6007,H,CAP,Labelling,bg,5,НАЧИН НА ПРИЛОЖЕНИЕ И ПЪТ(ИЩА) НА ВЪВЕЖДАНЕ,6002.0,True,7
194,6008,H,CAP,Labelling,bg,6,"СПЕЦИАЛНО ПРЕДУПРЕЖДЕНИЕ, ЧЕ ЛЕКАРСТВЕНИЯТ ПРОДУКТ ТРЯБВА ДА СЕ СЪХРАНЯВА НА МЯСТО ДАЛЕЧЕ ОТ ПОГЛЕДА И ДОСЕГА НА ДЕЦА ",6002.0,True,8
195,6009,H,CAP,Labelling,bg,7,"ДРУГИ СПЕЦИАЛНИ ПРЕДУПРЕЖДЕНИЯ, АКО Е НЕОБХОДИМО",6002.0,True,9
196,6010,H,CAP,Labelling,bg,8,ДАТА НА ИЗТИЧАНЕ НА СРОКА НА ГОДНОСТ,6002.0,True,10
197,6011,H,CAP,Labelling,bg,9,СПЕЦИАЛНИ УСЛОВИЯ НА СЪХРАНЕНИЕ,6002.0,True,11
198,6012,H,CAP,Labelling,bg,10,"СПЕЦИАЛНИ ПРЕДПАЗНИ МЕРКИ ПРИ ИЗХВЪРЛЯНЕ НА НЕИЗПОЛЗВАНА ЧАСТ ОТ ЛЕКАРСТВЕНИТЕ ПРОДУКТИ ИЛИ ОТПАДЪЧНИ МАТЕРИАЛИ ОТ ТЯХ, АКО СЕ ИЗИСКВАТ ТАКИВА",6002.0,True,12
199,6013,H,CAP,Labelling,bg,11,ИМЕ И АДРЕС НА ПРИТЕЖАТЕЛЯ НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,6002.0,True,13
200,6014,H,CAP,Labelling,bg,12,НОМЕР(А) НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,6002.0,True,14
201,6015,H,CAP,Labelling,bg,13,"ПАРТИДЕН НОМЕР<, КОДОВЕ НА ДАРЕНИЕТО И НА ПРОДУКТА>",6002.0,True,15
202,6016,H,CAP,Labelling,bg,14,НАЧИН НА ОТПУСКАНЕ,6002.0,True,16
203,6017,H,CAP,Labelling,bg,15,УКАЗАНИЯ ЗА УПОТРЕБА,6002.0,True,17
204,6018,H,CAP,Labelling,bg,16,ИНФОРМАЦИЯ НА БРАЙЛОВА АЗБУКА,6002.0,True,18
205,6019,H,CAP,Labelling,bg,17,УНИКАЛЕН ИДЕНТИФИКАТОР — ДВУИЗМЕРЕН БАРКОД,6002.0,True,19
206,6020,H,CAP,Labelling,bg,18,УНИКАЛЕН ИДЕНТИФИКАТОР — ДАННИ ЗА ЧЕТЕНЕ ОТ ХОРА,6002.0,True,20
207,6021,H,CAP,Labelling,bg,,"МИНИМУМ ДАННИ, КОИТО ТРЯБВА ДА СЪДЪРЖАТ БЛИСТЕРИТЕ И ЛЕНТИТЕ",6001.0,True,21
208,6022,H,CAP,Labelling,bg,1,ИМЕ НА ЛЕКАРСТВЕНИЯ ПРОДУКТ,6021.0,True,22
209,6023,H,CAP,Labelling,bg,2,ИМЕ НА ПРИТЕЖАТЕЛЯ НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,6021.0,True,23
210,6024,H,CAP,Labelling,bg,3,ДАТА НА ИЗТИЧАНЕ НА СРОКА НА ГОДНОСТ,6021.0,True,24
211,6025,H,CAP,Labelling,bg,4,"ПАРТИДЕН НОМЕР<, КОДОВЕ НА ДАРЕНИЕТО И НА ПРОДУКТА>",6021.0,True,25
212,6026,H,CAP,Labelling,bg,5,ДРУГО,6021.0,True,26
213,6027,H,CAP,Labelling,bg,,"МИНИМУМ ДАННИ, КОИТО ТРЯБВА ДА СЪДЪРЖАТ МАЛКИТЕ ЕДИНИЧНИ ПЪРВИЧНИ ОПАКОВКИ",6001.0,True,27
214,6028,H,CAP,Labelling,bg,1,ИМЕ НА ЛЕКАРСТВЕНИЯ ПРОДУКT И ПЪТ(ИЩА) НА ВЪВЕЖДАНЕ,6027.0,True,28
215,6029,H,CAP,Labelling,bg,2,НАЧИН НА ПРИЛОЖЕНИЕ,6027.0,True,29
216,6030,H,CAP,Labelling,bg,3,ДАТА НА ИЗТИЧАНЕ НА СРОКА НА ГОДНОСТ,6027.0,True,30
217,6031,H,CAP,Labelling,bg,4,"ПАРТИДЕН НОМЕР<, КОДОВЕ НА ДАРЕНИЕТО И НА ПРОДУКТА>",6027.0,True,31
218,6032,H,CAP,Labelling,bg,5,"СЪДЪРЖАНИЕ КАТО МАСА, ОБЕМ ИЛИ ЕДИНИЦИ",6027.0,True,32
219,6033,H,CAP,Labelling,bg,6,ДРУГО,6027.0,True,33
220,7001,H,CAP,Package leaflet,bg,Б, ЛИСТОВКА,,True,1
221,7002,H,CAP,Package leaflet,bg,,"q Този лекарствен продукт подлежи на допълнително наблюдение. Това ще позволи бързото установяване на нова информация относно безопасността. Можете да дадете своя принос като съобщите всяка нежелана реакция, която сте получили. За начина на съобщаване на нежелани реакции вижте края на точка 4. ",7001.0,False,2
222,7003,H,CAP,Package leaflet,bg,,Какво съдържа тази листовка,7001.0,True,3
223,7004,H,CAP,Package leaflet,bg,1,Какво представлява X и за какво се използва,7001.0,True,4
224,7005,H,CAP,Package leaflet,bg,2,"Какво трябва да знаете, преди да <приемете> <използвате> X",7001.0,True,5
225,7006,H,CAP,Package leaflet,bg,,Не <приемайте> <използвайте> X,7005.0,True,6
226,7007,H,CAP,Package leaflet,bg,,Предупреждения и предпазни мерки,7005.0,True,7
227,7008,H,CAP,Package leaflet,bg,,Деца <и юноши>,7005.0,True,8
228,7009,H,CAP,Package leaflet,bg,,Други лекарства и X,7005.0,True,9
229,7010,H,CAP,Package leaflet,bg,,"X с <храна> <и> <,> <напитки> <и> <алкохол>",7005.0,True,10
230,7011,H,CAP,Package leaflet,bg,,"Бременност <и> <,> кърмене <и фертилитет>",7005.0,True,11
231,7012,H,CAP,Package leaflet,bg,,Шофиране и работа с машини,7005.0,True,12
232,7013,H,CAP,Package leaflet,bg,,X съдържа {име на помощното(ите) вещество(а)},7005.0,False,13
233,7014,H,CAP,Package leaflet,bg,3,Как да <приемате> <използвате> X,7001.0,True,14
234,7015,H,CAP,Package leaflet,bg,,Употреба при деца <и юноши>,7014.0,False,15
235,7016,H,CAP,Package leaflet,bg,,Ако сте <приели> <използвали> повече от необходимата доза X,7014.0,False,16
236,7017,H,CAP,Package leaflet,bg,,Ако сте пропуснали да <приемете> <използвате> X,7014.0,False,17
237,7018,H,CAP,Package leaflet,bg,,Ако сте спрели <приема> <употребата> на X,7014.0,False,18
238,7019,H,CAP,Package leaflet,bg,4,Възможни нежелани реакции,7001.0,True,19
239,7020,H,CAP,Package leaflet,bg,,Допълнителни нежелани реакции при деца <и юноши,7019.0,False,20
240,7021,H,CAP,Package leaflet,bg,,Съобщаване на нежелани реакции,7019.0,True,21
241,7022,H,CAP,Package leaflet,bg,5,Как да съхранявате X,7001.0,True,22
242,7023,H,CAP,Package leaflet,bg,6,Съдържание на опаковката и допълнителна информация,7001.0,True,23
243,7024,H,CAP,Package leaflet,bg,,Какво съдържа X,7023.0,True,24
